Gene	score
A1BG	-0.4665314438
A1CF	-0.3783461165
GGACT	0.1893982981
A2M	0.0991786778
A2ML1	2.4199014901
A4GALT	-0.290161348
A4GNT	1.1078757944
AAAS	-0.9111093532
AACS	-1.1702416338
AADAC	-0.0917467567
AADACL2	-0.3140274219
AADACL3	2.131332486
AADACL4	-0.6226769456
AADAT	-0.1174323893
AAED1	0.1709879119
AAGAB	0.020302773
AAK1	-0.6649513793
AAMP	0.0405295409
AANAT	-0.0697007245
AAR2	-0.3122074973
AARS	-0.6558707763
AARS2	1.14268501
AARSD1	-0.0660618817
AASDH	1.0544929169
AASDHPPT	-0.3838075643
AASS	-0.9056562693
AATF	-0.2865228355
ABAT	-0.3324342685
ABCA1	-0.2390472838
ABCA10	1.0379389294
ABCA12	-0.2997634548
ABCA13	4.7303128156
ABCA2	-4.2377001558
ABCA3	-1.4776904507
ABCA4	0.7366628214
ABCA5	0.771533118
ABCA6	0.2644395288
ABCA7	-2.1512270952
ABCA8	0.909319045
ABCA9	-0.0019572187
ABCB1	0.0991786778
ABCB10	-0.1340192842
ABCB11	-1.1409542408
ABCB4	-0.5456323433
ABCB5	4.1761557023
ABCB6	-0.3692552083
ABCB7	0.8617121326
ABCB8	0.2957749473
ABCB9	-1.8151662882
ABCC1	-0.8416608834
ABCC10	-1.7054022407
ABCC11	1.6241278514
ABCC12	1.1114343116
ABCC2	0.9552526437
ABCC3	0.6906691386
ABCC4	0.214875663
ABCC5	-1.9677399918
ABCC6	0.6263563258
ABCC8	-2.0911071942
ABCC9	-1.9677399918
ABCD1	-0.5363109395
ABCD2	-0.0917467567
ABCD3	-0.6465439014
ABCD4	0.8046681337
ABCE1	-0.2515300117
ABCF1	-0.222203495
ABCF2	-0.4665314438
ABCF3	-0.7715534169
ABCG1	-1.3741324358
ABCG2	-0.1983381762
ABCG4	-0.0678812493
ABCG5	1.1610786132
ABCG8	0.7440011035
ABHD1	-0.1101539164
ABHD10	0.5953267582
ABHD11	-0.4040327464
ABHD12	-0.1578848607
ABHD12B	1.0399135468
ABHD13	-0.317668748
ABHD14A	0.7735215339
ABHD14B	0.2150807215
ABHD15	-0.2460691187
ABHD16A	-0.3360735926
ABHD2	-0.0256086474
ABHD3	-0.2037968257
ABHD4	-0.9790726815
ABHD5	-0.4242585377
ABHD6	-0.4940393029
ABHD8	-0.2037968257
ABI1	-0.315847836
ABI2	-0.3617612788
ABI3	-0.0256086474
ABI3BP	0.4537437302
ABL1	-1.6297113142
ABL2	-0.9920354755
ABLIM1	-0.2406116595
ABLIM2	-1.5064354641
ABLIM3	-1.150005948
AOC1	-0.5915423473
ABR	-1.0397617696
ABRA	-0.2019769636
ABRACL	0.0350720539
ABT1	-0.2717554808
ABTB1	-0.9515685475
ABTB2	-1.0122721196
ACAA1	0.064394823
ACAA2	-0.5785836229
ACACA	-1.6130711232
ACACB	-1.974635129
