Gene	score
A1BG	0.07384
A1CF	0.18871
A2M	0.27005
A2ML1	0.06001
A3GALT2	0.10629
A4GALT	0.10228
A4GNT	0.08072
AAAS	0.60947
AACS	0.18243
AADAC	0.02400
AADACL2	0.06376
AADACL3	0.07474
AADACL4	0.05904
AADAT	0.07259
AAED1	0.20115
AAK1	0.09908
AAMDC	0.07691
AAMP	0.49551
AANAT	0.20810
AAR2	0.08372
AARS	0.39793
AARS2	0.14300
AARSD1	0.15995
AASDH	0.07506
AASDHPPT	0.23809
AASS	0.54672
AATF	0.66679
AATK	0.24713
ABAT	0.40997
ABCA1	0.65897
ABCA10	0.10188
ABCA11P	0.03175
ABCA12	0.16262
ABCA13	0.10497
ABCA2	0.34587
ABCA3	0.13416
ABCA4	0.09923
ABCA5	0.15217
ABCA6	0.04657
ABCA7	0.05554
ABCA8	0.05674
ABCA9	0.07193
ABCB1	0.58236
ABCB10	0.26156
ABCB11	0.10912
ABCB4	0.08478
ABCB5	0.14704
ABCB6	0.12419
ABCB7	0.41712
ABCB8	0.19173
ABCB9	0.26916
ABCC1	0.23396
ABCC10	0.04246
ABCC11	0.22415
ABCC12	0.08005
ABCC13	0.08540
ABCC2	0.10813
ABCC3	0.11549
ABCC4	0.17935
ABCC5	0.38723
ABCC6	0.12510
ABCC8	0.15041
ABCC9	0.11236
ABCD1	0.44245
ABCD2	0.08475
ABCD3	0.71463
ABCD4	0.14137
ABCE1	0.54899
ABCF1	0.15350
ABCF2	0.31492
ABCF3	0.57953
ABCG1	0.09638
ABCG2	0.07103
ABCG4	0.18664
ABCG5	0.10278
ABCG8	0.13777
ABHD1	0.02466
ABHD10	0.06848
ABHD11	0.05918
ABHD12	0.06962
ABHD12B	0.05187
ABHD13	0.10818
ABHD14A	0.04602
ABHD14A-ACY1	0.08140
ABHD14B	0.24544
ABHD16A	0.25299
ABHD16B	0.17786
ABHD17AP1	0.11885
ABHD17AP2	0.16646
ABHD17B	0.54710
ABHD17C	0.16351
ABHD2	0.19174
ABHD3	0.57616
ABHD4	0.31924
ABHD5	0.10023
ABHD6	0.04853
ABHD8	0.25898
ABI1	0.52357
ABI2	0.48964
ABI3	0.29455
ABI3BP	0.18580
ABL1	0.99317
ABL2	0.88710
ABLIM1	0.24692
ABLIM2	0.23624
ABLIM3	0.44749
ABO	0.13273
ABR	0.59342
ABRA	0.13072
ABRACL	0.73253
