Gene	score
A1BG	0.31615
A1CF	0.35999
A2M	0.79618
A2ML1	0.08330
A3GALT2	0.09600
A4GALT	0.22182
A4GNT	0.08845
AACS	0.23898
AADAC	0.07726
AADACL2	0.11585
AADACL3	0.07813
AADACL4	0.09282
AADAT	0.12828
AAED1	0.08675
AAK1	0.09543
AAMDC	0.11262
AAMP	0.12230
AANAT	0.21095
AAR2	0.08694
AARS	0.20543
AARS2	0.11236
AARSD1	0.08781
AASDH	0.13832
AASDHPPT	0.18937
AATF	0.29381
AATK	0.12093
ABCA1	0.67602
ABCA12	0.15786
ABCA13	0.07333
ABCA2	0.29822
ABCA3	0.16987
ABCA4	0.38763
ABCA5	0.11348
ABCA6	0.10494
ABCA7	0.15483
ABCB1	0.67981
ABCB10	0.14338
ABCB11	0.39265
ABCB4	0.40689
ABCB5	0.09307
ABCB7	0.51712
ABCB8	0.15536
ABCB9	0.13285
ABCC11	0.70109
ABCC12	0.09094
ABCC2	0.23913
ABCC3	0.27947
ABCC4	0.36953
ABCC5	0.35905
ABCC6P2	0.14579
ABCC8	0.43468
ABCC9	0.15685
ABCD1	0.76942
ABCD2	0.19889
ABCD3	0.29732
ABCD4	0.15259
ABCE1	0.31462
ABCF2	0.12016
ABCF3	0.15513
ABCG1	0.43722
ABCG2	0.55212
ABCG4	0.15734
ABCG5	0.08667
ABCG8	0.33303
ABHD1	0.08409
ABHD10	0.09963
ABHD11	0.10401
ABHD12B	0.08315
ABHD13	0.11262
ABHD14A	0.08379
ABHD14B	0.08940
ABHD16A	0.10682
ABHD17A	0.11236
ABHD17AP1	0.11056
ABHD17AP2	0.11056
ABHD17AP5	0.10989
ABHD17B	0.11262
ABHD17C	0.10439
ABHD2	0.12265
ABHD3	0.10262
ABHD4	0.11145
ABHD5	0.16275
ABHD6	0.41860
ABHD8	0.11050
ABI1	0.29688
ABI2	0.19195
ABI3	0.12388
ABI3BP	0.10024
ABL1	0.60884
ABL2	0.21266
ABLIM1	0.11524
ABLIM2	0.10583
ABLIM3	0.10843
ABO	0.82949
ABRA	0.11727
ABRACL	0.09747
ABT1	0.11250
ABTB1	0.11327
ABTB2	0.10744
ACAA1	0.69540
ACAA2	0.36635
ACACA	0.73160
ACACB	0.41174
ACAD10	0.49463
ACAD11	0.20501
ACAD8	0.24964
ACAD9	0.22317
ACADL	0.32629
ACADM	0.72174
ACADS	0.52588
ACADSB	0.27521
ACADVL	0.28643
ACAN	0.57020
ACAP1	0.09928
ACAP2	0.11517
ACAP3	0.11007
ACAT1	0.47999
ACAT2	0.25895
ACBD3	0.13517
ACBD4	0.08115
ACBD5	0.07003
ACBD6	0.10684
ACBD7	0.09170
ACCS	0.15825
ACD	0.13430
ACE	0.71876
ACE2	0.28373
ACER1	0.11016
ACER2	0.08575
ACER3	0.12214
ACHE	0.44337
ACIN1	0.42314
ACKR3	0.18329
ACKR4	0.08606
