Gene	score
DYNC1H1	9.977310358
PRPF8	8.302348813
HUWE1	7.973459617
TRRAP	7.75311706
LRP1	7.675362519
HERC2	6.654857498
SMARCA4	6.604156311
POLR2A	6.577552325
HECTD4	6.508839074
RYR2	6.436270243
SCN8A	6.419004131
MED12	6.38784839
ACACA	6.377741751
KIAA1109	6.29226015
SNRNP200	6.165737396
CHD4	6.162176325
CACNA1C	6.032544634
MTOR	5.973608946
GRIN1	5.971225911
SLC8A2	5.966104495
ABCA2	5.846552481
PPFIA3	5.794440277
KMT2A	5.74707202
UBR5	5.719610087
ATP1A3	5.610763408
ITPR1	5.588975959
AGO2	5.58425137
CLTC	5.546529321
FLNA	5.541180456
UPF1	5.513821532
PCDH17	5.510961475
KMT2D	5.506609516
SYNGAP1	5.50652863
HCFC1	5.450005012
DHX30	5.427908536
SPTBN1	5.422992447
SF3B1	5.418407508
SOGA3	5.417504623
SMG1	5.415351112
BCL11B	5.39309632
SMARCA2	5.386822448
CACNA1I	5.362811663
MYH7	5.361782955
SMC1A	5.359867264
USP9X	5.353017508
GRIN2B	5.334038957
SCN2A	5.325529995
CHD5	5.300191154
PCSK5	5.279148274
LRRC4B	5.225984549
GRIN2D	5.211109767
TAF1	5.177902833
RSPH10B	5.174732367
RSPH10B2	5.174732367
VCP	5.162240619
CNOT1	5.146462262
TRIO	5.109360342
CYFIP2	5.099938125
NBEA	5.068382101
SUPT5H	5.065080973
ZBTB7A	5.052052749
FZD8	5.028104184
WDFY3	5.019174891
TNPO2	4.993303721
DSCAM	4.978751102
GTF2I	4.945101713
ATP1A1	4.944453931
UBR4	4.940471145
MYCBP2	4.938844432
NALCN	4.916435472
NF1	4.909466807
CHD3	4.905307731
DNMT1	4.869620284
EHMT2	4.866279749
USP7	4.866031559
GABBR1	4.855097392
KDM2A	4.832424342
PRPF6	4.825524119
SPTBN4	4.815931143
GNAS	4.805834874
MLL4	4.804818611
THOC2	4.791241466
FRY	4.771596467
CACNA1G	4.762909833
MROH1	4.75648594
ATP2B2	4.75526435
OGT	4.752633817
DIP2C	4.749930002
POLR2B	4.728834581
IRF2BP1	4.714565409
SHANK3	4.714052438
CACNA1E	4.695956031
CNNM2	4.694758637
ANKRD17	4.691045473
KCNMA1	4.686685218
TAOK1	4.684596692
BRWD3	4.682947856
SPTAN1	4.671286403
TUBB2A	4.670218289
PHIP	4.670093849
DDB1	4.669869856
DAGLA	4.665223388
HSPA2	4.665154254
SPEG	4.644098239
KCNA3	4.643702103
BCL11A	4.641735253
SMC3	4.638604193
MYH10	4.629340984
XPO1	4.620696521
UNC13A	4.614746885
LRFN1	4.612620336
CUL3	4.609623395
AGO1	4.607321938
ZSWIM8	4.601419312
IRS2	4.591616862
ADCY1	4.587399713
HCN2	4.567899203
APC2	4.563904665
PCDH10	4.554701602
MYT1L	4.553063136
ZBTB17	4.546736722
KDM5C	4.538966107
ATP1A2	4.537008244
CACNA1B	4.530455072
TLN1	4.516560604
KCNC1	4.516306884
NCOR1	4.51625849
UHRF1	4.511235244
MYH9	4.495631103
ZBTB20	4.488137023
ATP9A	4.484391365
EEF2	4.477837502
PDS5A	4.451206554
PRKD2	4.438034532
BRD4	4.435773864
MAPK8IP3	4.41897786
BAI1	4.402642977
DDX3X	4.402607027
CHD2	4.398373978
KCNG1	4.386534852
GTF3C1	4.382787812
CHERP	4.378784286
BRSK1	4.375810851
TRIP12	4.374870634
HSPA8	4.364483313
KDM1A	4.362492957
SCN3A	4.362162498
SLC32A1	4.361686168
KDM3B	4.354401562
VPRBP	4.352850205
TUBB4B	4.338950898
CYFIP1	4.335662213
PRKCE	4.310169896
TUBB4A	4.303760521
XPO7	4.293494875
KCNA6	4.290103873
KCND3	4.286667934
PLXNC1	4.280971327
TBC1D9	4.280291744
ACTA1	4.27886137
CREBBP	4.271484817
FAM115A	4.270830122
DROSHA	4.268142208
RYR1	4.268071692
IQSEC2	4.264943397
DHX9	4.258839593
OGDH	4.257243298
DHX16	4.252241484
KIAA1161	4.250930711
DOCK3	4.249821808
ITPRIPL2	4.249397328
KCNQ2	4.246094817
CHD8	4.243238908
GRIN2A	4.240017283
ZMIZ1	4.239876251
TCHH	4.236343525
CUL1	4.23570473
HECTD1	4.232696728
ZEB2	4.228503085
PRR12	4.22848511
PABPC1	4.227431515
NOVA2	4.222879759
DSCAML1	4.217495636
NOTCH1	4.215388444
TUBB	4.211808016
MAST3	4.206212344
CEP170	4.206096199
GCN1L1	4.205108972
LPHN1	4.200498453
DNM1	4.198329733
PHF8	4.198016557
CTNNB1	4.197769059
FZD7	4.193866468
CENPB	4.184682763
RASGRF1	4.18327313
NFIX	4.182532709
PATZ1	4.172566411
ATP2B1	4.170571216
ANO8	4.163088889
PLXNA1	4.154656665
TMEM63B	4.151884409
PI4KA	4.146841114
RBM10	4.146505125
SUPT16H	4.145409357
CELSR3	4.142399281
EVI5L	4.141275169
DCLK1	4.13988351
RPS6KA4	4.137512919
CSTF3	4.134914879
KLHL11	4.123418656
CCDC144A	4.115699891
CNTNAP3	4.114477609
SYMPK	4.111809744
AHDC1	4.106835583
DDX23	4.105342989
PIK3CA	4.104908139
ZNF668	4.103712128
ITPR2	4.102350196
STAT3	4.101123766
PCDH19	4.097288927
MED12L	4.094256036
IKZF1	4.093066939
DDX46	4.09169602
POTED	4.09086296
HK1	4.088835272
ASH1L	4.08780449
CTCF	4.08719888
SOX11	4.083667537
KCNJ4	4.082419675
KCNF1	4.078714115
DYRK1A	4.075874799
CHST1	4.073844346
TBR1	4.069927237
TUBB3	4.061304205
PPP2R1A	4.058743497
TUBA1A	4.057702345
CASR	4.05723362
ACTB	4.055174822
NKPD1	4.05330061
SZT2	4.052157141
SF3B3	4.051812164
IGSF9B	4.051512816
KPNB1	4.048410792
NXF2	4.048301561
NXF2B	4.048301561
MEF2C	4.047109006
SIN3B	4.045385506
AGAP2	4.044593235
NRXN1	4.041988282
PRAMEF21	4.035338322
PRAMEF20	4.035291312
AP2A1	4.035267115
ARFGEF1	4.032933856
PRAMEF3	4.029298813
TERT	4.027175029
ITPR3	4.023880122
DMWD	4.022407577
ZIC1	4.020630844
AP2M1	4.020516082
CLUH	4.01892601
PRDM13	4.016475916
LINGO3	4.015915242
KSR2	4.014388773
RPTOR	4.013487962
FBN1	4.012251162
RBM25	4.011986381
HIRA	4.011330994
CAD	4.010686669
GP5	4.008140479
HSPA5	4.003127603
UBC	3.996595862
ZMYM3	3.994718194
DHX38	3.99386716
GABBR2	3.993255328
USP49	3.990082096
HMHA1	3.986323303
NCDN	3.98163812
VARS	3.980720026
GLUD1	3.978601773
KCNB1	3.976780795
HNRNPUL1	3.97502895
SAFB2	3.974204877
NIPBL	3.973635217
TIGD5	3.972906549
DLG4	3.96948098
DHX15	3.969026081
CACNA1D	3.967138042
TLE3	3.966080299
EP400	3.960946439
TRIM71	3.960413419
CAND1	3.960303496
TRIM9	3.960016592
JAK1	3.958846852
KCNK3	3.955805665
INTS3	3.953876839
PLCB3	3.953296116
KDM2B	3.946788572
CACTIN	3.946003906
TOP1	3.945914724
ATP2A2	3.944348848
ANAPC1	3.943475
VGF	3.943109283
SUPT6H	3.941323562
DHX8	3.937108488
PLCG1	3.93685615
HECW1	3.925846627
TLK2	3.924304948
EPM2AIP1	3.922668556
NPR2	3.921673033
ITSN1	3.918943639
ADARB1	3.918942948
STAG2	3.913352115
MAP4K1	3.911418448
HDLBP	3.909293973
FAM120C	3.908172627
NRF1	3.906443596
SBK1	3.905553155
HERC1	3.901797127
NEFL	3.900782938
NOMO1	3.899569643
ZNF26	3.898460049
ANKRD52	3.898245044
DOT1L	3.89074889
ARHGEF2	3.885588068
SLIT1	3.87551807
UBTF	3.873327918
POGK	3.872093883
NCKAP1	3.865893292
CBX4	3.864043969
CDK11B	3.859998963
PITPNM1	3.858932232
PIK3CD	3.857967127
ZNF775	3.854636271
MED14	3.854338997
INPP5D	3.851034411
USP34	3.850150884
ADAMTSL2	3.85004511
PRAMEF15	3.847415268
PRAMEF9	3.847415268
SEMA3B	3.842750825
ILF3	3.841448349
CNTNAP1	3.836857879
PRKCG	3.834255691
FOXA1	3.83425016
FOXG1	3.832446465
FOXO3	3.830452652
ARHGAP35	3.830279818
KCNJ3	3.82963895
U2SURP	3.829181286
ABR	3.828386941
DNMT3A	3.82641456
NR2F2	3.823462556
CAMK2A	3.823077481
CLCN4	3.82255414
KCNC3	3.82088733
HIC1	3.820658497
REPIN1	3.820271349
CDK5R2	3.82005427
CTR9	3.818863098
ELMO1	3.817972658
PDZD4	3.811479632
SHANK1	3.811392523
KALRN	3.805118651
EEF1A2	3.803854197
UNK	3.803096493
ATRX	3.80199243
SOX9	3.801792634
TLE4	3.801416547
LRRC8A	3.801393042
PNPLA6	3.799801587
SCN1A	3.799122695
KIF21B	3.794770736
LMTK3	3.790077948
FLNC	3.787790318
MED23	3.787717728
EIF3A	3.78268342
NTNG2	3.781526124
MAU2	3.779943656
UBA1	3.777857896
LTBP2	3.773609637
LCT	3.77338841
MAST4	3.772603052
PUF60	3.769993259
BAZ1B	3.769884028
LHX2	3.764548298
MAB21L2	3.76444045
POU3F2	3.764068511
PCNXL3	3.762896006
PTPRS	3.760901502
EZH2	3.758750756
U2AF2	3.756280613
TRIM8	3.754801846
BRD1	3.75384642
DLGAP3	3.752846057
MTA1	3.748684906
PUM1	3.747951399
ARIH1	3.745554538
ACTG1	3.745407283
YY1	3.74533331
BRPF1	3.740395098
AP2B1	3.740381963
SRC	3.738307956
CNOT3	3.736575468
MARCH6	3.735502515
TSSK6	3.735436838
DVL3	3.732558807
TRIM3	3.732215213
SEMA6D	3.730752346
SIX3	3.72890648
ADCY2	3.728824902
SLC12A5	3.727962806
FSCN1	3.725503033
ZFHX4	3.721643305
SMEK1	3.720742495
PDS5B	3.718930503
PSPC1	3.718591058
CTNNA2	3.712774849
SATB2	3.710008123
ZER1	3.70973228
PITPNM2	3.709529027
MKLN1	3.707894018
INSR	3.706756079
CBX6	3.705728754
AMPD2	3.705304966
FUT4	3.702867315
MAP4K4	3.702659223
ABCE1	3.7020626
KIF5A	3.701566221
ZC3H4	3.701457682
ZNF777	3.701403757
GFPT1	3.699931212
HLA-C	3.698392299
TUBA1B	3.697874488
CXXC1	3.696580307
RBM14-RBM4	3.696124026
CSK	3.691362104
GNA11	3.688801396
NLGN3	3.688450198
MIB1	3.685879811
