CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
A2M,0.7267638351089887,0.09570350046333251,0.000001,0.27005,0.79618,1.6846838,0.0991786778,0.20135854382894441
AAGAB,0.7097689590205559,0.00855508884436113,0.000001,0.000001,0.000001,-2.793430236,0.020302773,0.043982086810711245
AARS,0.6006887752063553,0.12338959746649975,0.000001,0.39793,0.20543,0.585697644,-0.6558707763,0.013809967594878096
ABCB1,0.6307561406504635,0.1285448334671287,0.000001,0.58236,0.67981,1.586974542,0.0991786778,0.8013554684544747
ABCC9,0.6602605315959263,0.07857459584317997,0.000001,0.11236,0.15685,2.980435196,-1.9677399918,0.6524757342809328
ACTA2,0.7202123411095014,0.000001,0.000001,0.76679,0.15588,3.475842306,-0.2735762528,0.6429083959549907
ACTB,0.7389604919691501,0.01663205946140852,0.000001,0.000001,0.000001,4.055174822,-0.6704118254,0.009460634018079731
ACTC1,0.6988991904065139,0.03495943323091766,0.000001,0.76812,0.90675,3.629365181,-0.2074375289,0.6870852815858611
ACTG1,0.6641285333301157,0.06526128568758428,0.000001,0.000001,0.000001,3.745407283,-1.927246174,0.037435740598924995
ACTG2,0.6777731299484295,0.013867320045300432,0.000001,0.89382,0.67288,2.661680983,-0.3617612788,0.7223198775227233
ACTN1,0.7137198973956049,0.000001,0.000001,0.68733,0.31632,3.153197947,-1.3282170856,0.04484669917740987
ACTN2,0.7401070609593685,0.034304232684153155,0.000001,0.77327,0.39885,1.068091049,-1.7233360077,0.7916929688388215
ACTN4,0.6745866776075515,0.055292059083357624,0.000001,0.47251,0.7289,3.626179505,-0.7054107958,0.13404202920564584
ACVR1,0.7715422436346322,0.028173110806981063,0.000001,0.99535,0.38424,1.75471059,-0.5142644846,0.07323260555153838
ACVR2B,0.7720436852089567,0.012600492849254831,0.000001,0.85887,0.31462,2.22113068,-0.7788253275,0.05997463758496655
ACVRL1,0.6867399224808656,0.025406650106147607,0.000001,0.92997,0.44126,1.630763753,-1.0213484528,0.7446051704226947
ADAM10,0.6801070584641056,0.009362422741690166,0.000001,0.98992,0.37464,2.825235832,-0.381986487,0.034963499690436904
ADCY5,0.684861334653985,0.010296505918873987,0.000001,0.4175,0.2333,3.562065711,-2.3886335917,0.06358745973191053
ADK,0.6689990308428851,0.026418505306009817,0.000001,0.22255,0.6862,1.005227882,-0.3397150076,0.09736571259986145
ADNP,0.6739022670947605,0.015935434721414416,0.000001,0.90423,0.1327,1.072773467,-1.4146059448,0.046363167506484185
ADRA2C,0.6613155175899551,0.04893515029623043,0.000001,0.03325,0.09956,3.134930089,0.000001,0.7463528303893022
ADRB1,0.5684094958690827,0.006179263164456013,0.000001,0.000001,0.000001,3.399616309,0.000001,0.6270735411765809
ADRB2,0.6622479157946323,0.04024375368354289,0.000001,0.16974,0.80184,1.20256693,0.4189530425,0.7215100749625394
AGBL1,0.6152158089835723,0.1351284952498636,0.000001,0.000001,0.000001,-0.866680724,0.000001,0.012597586497545856
AHDC1,0.7333712629262044,0.040853270721796585,0.000001,0.000001,0.000001,4.106835583,-1.0950469291,0.06693678618381602
AIP,0.6732893059177637,0.024437311619362877,0.000001,0.51148,0.13318,1.074849548,-0.1358388221,0.6580722865841998
AKAP9,0.711100863839736,0.1304308914110956,0.000001,0.14649,0.1106,0.523513576,0.223857359,0.8289689105007183
AKT1,0.7724519808318489,0.029630322645350805,0.000001,0.99568,0.9996,3.228592267,-1.0011204781,0.8116789259714642
AKT2,0.75339399508686,0.019023432708184736,0.000001,0.91994,0.55644,2.78086175,-0.6483651047,0.7509880534830519
