CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AAAS,0.03137877771681522,0.6970998238764602,0.000001,0.000001,0.000001,0.58328343,-0.9111093532,0.6718840193538885
AARS2,0.019143253218445185,0.5559313667079055,0.000001,0.143,0.11236,0.964549681,1.14268501,0.7387609618178862
AASS,0.016011914602599712,0.7187303941179972,0.000001,0.000001,0.000001,0.499139287,-0.9056562693,0.04495209592828106
ABAT,0.014457033338267155,0.6110755135268195,0.000001,0.000001,0.000001,1.515920427,-0.3324342685,0.010271237862241584
ABCA1,0.13259331395687893,0.6771608998649326,0.000001,0.65897,0.67602,2.900688916,-0.2390472838,0.7864971448970238
ABCA4,0.055580428192773104,0.8013905487537518,0.000001,0.09923,0.38763,-1.316841287,0.7366628214,0.10887642495817969
ABCC11,0.03581324218167106,0.7619724390978417,0.000001,0.22415,0.70109,0.047815344,1.6241278514,0.1012530966921196
ABCD3,0.08562073765812041,0.5949667199592649,0.000001,0.71463,0.29732,2.497853057,-0.6465439014,0.042218854634268214
ABCD4,0.0319943907984377,0.6925184972697463,0.000001,0.14137,0.15259,0.262463022,0.8046681337,0.7197527095978887
ABCG5,0.000001,0.6669021040918303,0.000001,0.10278,0.08667,-0.242970255,1.1610786132,0.6497876916543546
ABCG8,0.000001,0.7963020852790891,0.000001,0.13777,0.33303,-0.776457941,0.7440011035,0.7295165470330472
ABHD12,0.00627610194018222,0.5387153358288674,0.000001,0.000001,0.000001,0.268289808,-0.1578848607,0.006441402852844065
ABHD5,0.000001,0.7005185523353975,0.000001,0.10023,0.16275,-0.759787069,-0.4242585377,0.01532245942609459
ACAD8,0.02525965879365116,0.8527832996751572,0.000001,0.02167,0.24964,0.094348191,-0.3801660072,0.7843499301935974
ACAD9,0.03159696384147049,0.6190858385711153,0.000001,0.10391,0.22317,1.05698543,-0.8413293837,0.6149823813496681
ACADM,0.02553753306871656,0.7941724181627584,0.000001,0.15704,0.72174,0.35641729,-0.2478890237,0.7687690010618768
ACADS,0.07433834689748939,0.7020004955803721,0.000001,0.21732,0.52588,1.571079348,-0.2001574165,0.7840539327234597
ACADSB,0.000001,0.7916105418658591,0.000001,0.50662,0.27521,-0.19407304,-0.4022122566,0.1521551937855791
