CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AARS,0.6006887752063553,0.12338959746649975,0.000001,0.39793,0.20543,0.585697644,-0.6558707763,0.013809967594878096
ABL1,0.09246990418609567,0.017731763187420452,0.000001,0.99317,0.60884,1.97483745,-1.6297113142,0.13331820976819486
ACSL4,0.000001,0.0,0.8889148089935835,0.91674,0.30801,1.5664951,-0.5601786932,0.06787709071206222
ACTA1,0.22082834829541415,0.000001,0.000001,0.90573,0.93721,4.27886137,-0.2956224973,0.21563818688701633
ACVR1B,0.09987614069771021,0.012560718389997156,0.000001,0.88541,0.29686,3.351762734,-0.4058538669,0.00826103377586246
ACVRL1,0.6867399224808656,0.025406650106147607,0.000001,0.92997,0.44126,1.630763753,-1.0213484528,0.7446051704226947
ADIPOQ,0.023988936329703975,0.08030950977084413,0.000001,0.16266,0.83603,-0.466757047,0.1287140423,0.10881286258487115
AFG3L2,0.000001,0.015758948888551675,0.000001,0.5297,0.10986,2.666376536,-0.6024505683,0.012502578864832633
AIRE,0.06950436019387636,0.14248033725743675,0.000001,0.19564,0.59275,-1.14795693,-0.5713109971,0.8889656013918856
AKT1,0.7724519808318489,0.029630322645350805,0.000001,0.99568,0.9996,3.228592267,-1.0011204781,0.8116789259714642
ALPL,0.11511809747502914,0.11884464973560528,0.000001,0.4558,0.9277,2.243371645,7.61E-05,0.8419065218828915
ALX4,0.16231059768670852,0.039915627560700676,0.000001,0.78445,0.21643,1.002853143,-0.4463048533,0.133385380554371
AMHR2,0.012607875733114131,0.6367177237184511,0.000001,0.32915,0.15847,0.450971223,-0.9349773582,0.7015463982939646
ANKH,0.6603460488471574,0.006399909810317691,0.000001,0.000001,0.000001,2.086459151,-0.3783461165,0.0
ANTXR1,0.0063910020510810645,0.000001,0.000001,0.51987,0.13588,0.687061304,-0.9092902751,0.028967353010117207
APC,0.7755158286801459,0.0210321226012012,0.000001,0.53216,0.57092,1.15881505,-2.5235434792,0.6896096383136788
APCDD1,0.5969655011529048,0.019106062355979028,0.000001,0.21038,0.10984,-0.545671581,-1.3723173955,0.02924092206559458
APP,0.13281084937531876,0.000001,0.000001,0.95878,0.5574,2.652316839,-0.9772525253,0.05822083044645119
AQP2,0.0063307538778320455,0.14910390996629605,0.000001,0.22652,0.60646,1.651326846,-0.516085732,0.7732577273297248
ARFGEF2,0.04511712803164434,0.6385030349633721,0.000001,0.60497,0.15011,2.843619834,-2.3850431691,0.06305412360980438
ATL1,0.6486350596510633,0.034600500671781415,0.000001,0.58111,0.15924,2.237466254,-0.5822252308,0.0
ATM,0.000001,0.11170545304653365,0.000001,0.17033,0.15782,0.036476676,1.5268985379,0.7267609057986646
ATP7A,0.000001,0.006297949715218667,0.7671999276282889,0.000001,0.000001,1.095933908,0.4060063639,0.6005587684487633
BCMO1,0.000001,0.044347362459410275,0.000001,0.000001,0.000001,-0.981065694,0.4041851622,0.0
BDNF,0.6865297184772795,0.029836636481347444,0.000001,0.000001,0.000001,2.245382741,0.4373644605,0.6216666463974261
BICC1,0.6121630802866322,0.029165825390232894,0.000001,0.20727,0.11765,1.820258214,0.6026029817,0.5272837293189491
BMP15,0.01890056124440029,0.03135105220770188,0.7037832313367713,0.41269,0.19135,-0.500799392,0.5953267582,0.6657388596371504
BMPR1B,0.03721317042727226,0.05092709877922436,0.000001,0.89549,0.33888,-0.465738986,-0.7567782586,0.0727107983164054
BMPR2,0.7114007749140663,0.04604645883518663,0.000001,0.85302,0.5014,1.357419243,-0.9313380396,0.8098619357012901
BRAF,0.6097316363673931,0.024764508446841936,0.000001,0.000001,0.000001,3.287339913,-0.6042718101,0.6023231531243936
BRCA1,0.6989267650387125,0.06436571853548058,0.000001,0.99897,0.94795,-0.420634577,0.4646954134,0.16114797387566823
BRIP1,0.01275721239966668,0.062296621652353876,0.000001,0.20765,0.27124,1.412602361,-0.6374526584,0.7848182682357259
CACNA1A,0.7971123559406382,0.06810119194940459,0.000001,0.58636,0.55905,0.000001,-1.7822986937,0.7383218052803928
CASP10,0.6464539323491097,0.03290712239934132,0.000001,0.000001,0.000001,0.826955875,-0.0899272547,0.6804359567826567
CAV3,0.10502957597458899,0.05117214466602634,0.000001,0.38282,0.55696,0.478984566,0.439181676,0.8179337617129515
CBL,0.7010702226161193,0.04632246679138169,0.000001,0.9967,0.47784,1.006168098,-1.0415783763,0.7269203446186385
CCND1,0.19990966180602462,0.02105723972198005,0.000001,0.99915,0.96333,2.621552395,-0.317668748,0.13447089608354407
CDH1,0.7137790131286608,0.0945805009897839,0.000001,0.8252,0.93422,1.715805665,-1.0618103605,0.1721303461157267
CDKN1A,0.000001,0.01899134085484612,0.000001,0.96907,0.0908,-0.503827304,0.4612283722,0.042444809623787744
CDKN1B,0.6326746384801576,0.057095128605085484,0.000001,0.80863,0.68893,0.50172509,-0.0053819721,0.7372252621171825
CDKN2A,0.6834432324362522,0.046413836951793006,0.000001,0.03037,0.06846,2.828520368,0.7257944159,0.758325883629219
CFTR,0.16211960500224915,0.7827287060142352,0.000001,0.76593,0.87681,-3.606954838,-0.5072780797,0.7884543305642417
CHMP4B,0.6585075342445474,0.000001,0.000001,0.64334,0.10911,2.351882335,-0.0751598784,0.0
CHUK,0.043685395974244805,0.6836246272989364,0.000001,0.84106,0.63405,2.100011407,-0.2019769636,0.11326929348927535
CLCN1,0.015790802316346622,0.051858560175232764,0.000001,0.000001,0.000001,0.773478283,0.2075899273,0.6981017891739282
CLCN2,0.006274291921945475,0.04150525007109788,0.000001,0.1963,0.18747,1.933301993,0.497836815,0.018341730098695004
CLCN7,0.03478404313612593,0.08347063013908461,0.000001,0.23813,0.29785,2.011196184,-1.6369327847,0.6594374157414119
COCH,0.627326776708691,0.012596746810356602,0.000001,0.53303,0.13199,1.758956774,0.2866749959,0.018671215197061376
COL10A1,0.6593454952059029,0.09582614040232403,0.000001,0.06187,0.36607,-1.099342885,-0.0201505516,0.11417149668594408
COL11A1,0.04977124811482141,0.11996083053778148,0.000001,0.35429,0.34658,0.525945626,-0.360177779,0.8230458907737873
