CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AASS,0.016011914602599712,0.7187303941179972,0.000001,0.000001,0.000001,0.499139287,-0.9056562693,0.04495209592828106
ABCA12,0.05286774297723554,0.662528206338113,0.000001,0.16262,0.15786,1.246519988,-0.2997634548,0.14476284353810176
ABCA4,0.055580428192773104,0.8013905487537518,0.000001,0.09923,0.38763,-1.316841287,0.7366628214,0.10887642495817969
ABCB6,0.00630507670279907,0.07824076345043308,0.000001,0.000001,0.000001,1.854627975,-0.3692552083,0.7293659965704793
ABCB7,0.024958041926933017,0.012625338604698947,0.8823685196471378,0.41712,0.51712,2.570685287,0.8617121326,0.34337685000616053
ABCC11,0.03581324218167106,0.7619724390978417,0.000001,0.22415,0.70109,0.047815344,1.6241278514,0.1012530966921196
ABCC2,0.04732738449976212,0.05474073287182249,0.000001,0.10813,0.23913,-0.700952315,0.9552526437,0.08913997486797318
ABCC6,0.024482463385142844,0.029379086506847528,0.000001,0.000001,0.000001,-0.234394787,0.6263563258,0.7406584894841088
ABCC8,0.06495664661566482,0.028192416185874508,0.000001,0.15041,0.43468,2.911322353,-2.0911071942,0.730620005653921
ABCD1,0.04640399413709498,0.00639320299157449,0.8800852478437575,0.44245,0.76942,2.461045645,-0.5363109395,0.8581229668281465
ABCD3,0.08562073765812041,0.5949667199592649,0.000001,0.71463,0.29732,2.497853057,-0.6465439014,0.042218854634268214
ABCG2,0.01762893400353458,0.14949829016597604,0.000001,0.07103,0.55212,0.031294893,-0.1983381762,0.8460255069625158
ABCG5,0.000001,0.6669021040918303,0.000001,0.10278,0.08667,-0.242970255,1.1610786132,0.6497876916543546
ABCG8,0.000001,0.7963020852790891,0.000001,0.13777,0.33303,-0.776457941,0.7440011035,0.7295165470330472
ABHD12,0.00627610194018222,0.5387153358288674,0.000001,0.000001,0.000001,0.268289808,-0.1578848607,0.006441402852844065
ABHD5,0.000001,0.7005185523353975,0.000001,0.10023,0.16275,-0.759787069,-0.4242585377,0.01532245942609459
ACAN,0.040105061695642624,0.0642224574271809,0.000001,0.3407,0.5702,0.777960905,1.2843107124,0.12796155543165363
ACTA1,0.22082834829541415,0.000001,0.000001,0.90573,0.93721,4.27886137,-0.2956224973,0.21563818688701633
ADA,0.012448932264929288,0.7930113562330576,0.000001,0.11131,0.68435,0.44350528,-0.0917467567,0.7595538712551962
ADAM9,0.008401640652626816,0.6854021056469524,0.000001,0.23427,0.21827,2.115281633,-0.2019769636,0.031688488869882736
