CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
ABCA1,0.13259331395687893,0.6771608998649326,0.000001,0.65897,0.67602,2.900688916,-0.2390472838,0.7864971448970238
ABCA4,0.055580428192773104,0.8013905487537518,0.000001,0.09923,0.38763,-1.316841287,0.7366628214,0.10887642495817969
ABCC8,0.06495664661566482,0.028192416185874508,0.000001,0.15041,0.43468,2.911322353,-2.0911071942,0.730620005653921
ABCC9,0.6602605315959263,0.07857459584317997,0.000001,0.11236,0.15685,2.980435196,-1.9677399918,0.6524757342809328
ACTA1,0.22082834829541415,0.000001,0.000001,0.90573,0.93721,4.27886137,-0.2956224973,0.21563818688701633
ACTC1,0.6988991904065139,0.03495943323091766,0.000001,0.76812,0.90675,3.629365181,-0.2074375289,0.6870852815858611
ACVRL1,0.6867399224808656,0.025406650106147607,0.000001,0.92997,0.44126,1.630763753,-1.0213484528,0.7446051704226947
ADAR,0.04317361925005466,0.021857228397637794,0.02522885997681527,0.1228,0.23648,3.162998324,-0.639268965,0.05039014714509727
AFP,0.012983869218726535,0.18286086195353354,0.000001,0.57958,0.75,-1.109894744,0.2903136214,0.1671647983861223
AK1,0.006246270856198777,0.7674829373723361,0.000001,0.15139,0.64321,-0.288479234,-0.1376585754,0.7156285074329017
SETX,0.019176446546931136,0.17997664286236367,0.000001,0.07422,0.4128,-0.443900102,-0.1399511699,0.14725724632407192
ALX4,0.16231059768670852,0.039915627560700676,0.000001,0.78445,0.21643,1.002853143,-0.4463048533,0.133385380554371
AMPD1,0.007857005016573607,0.8583070840771538,0.000001,0.27146,0.44922,-1.036497693,0.0734923116,0.17632483455460704
ANK1,0.2387727927686532,0.03178326858936702,0.000001,0.75287,0.74808,2.380872811,-3.1433735929,0.8475750518338915
ANKH,0.6603460488471574,0.006399909810317691,0.000001,0.000001,0.000001,2.086459151,-0.3783461165,0.0
APC,0.7755158286801459,0.0210321226012012,0.000001,0.53216,0.57092,1.15881505,-2.5235434792,0.6896096383136788
APOA1,0.000001,0.06657527325172596,0.000001,0.000001,0.000001,0.957392281,-0.4719929046,0.6822615395406967
APOA5,0.046762338904165625,0.0785526029798532,0.000001,0.27368,0.35715,1.616256071,0.4189530425,0.8414296414080389
APOB,0.05014825424767356,0.28474174218858916,0.000001,0.45035,0.88273,-1.788750583,1.4160424198,0.79140203211558
