CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AAAS,0.03137877771681522,0.6970998238764602,0.000001,0.000001,0.000001,0.58328343,-0.9111093532,0.6718840193538885
ABAT,0.014457033338267155,0.6110755135268195,0.000001,0.000001,0.000001,1.515920427,-0.3324342685,0.010271237862241584
ABCA12,0.05286774297723554,0.662528206338113,0.000001,0.16262,0.15786,1.246519988,-0.2997634548,0.14476284353810176
ABCA1,0.13259331395687893,0.6771608998649326,0.000001,0.65897,0.67602,2.900688916,-0.2390472838,0.7864971448970238
ABCA4,0.055580428192773104,0.8013905487537518,0.000001,0.09923,0.38763,-1.316841287,0.7366628214,0.10887642495817969
ABCB11,0.06746948401836118,0.04752372347657351,0.000001,0.10912,0.39265,0.543707634,-1.1409542408,0.7283421709128868
ABCC2,0.04732738449976212,0.05474073287182249,0.000001,0.10813,0.23913,-0.700952315,0.9552526437,0.08913997486797318
ABCC6,0.024482463385142844,0.029379086506847528,0.000001,0.000001,0.000001,-0.234394787,0.6263563258,0.7406584894841088
ABCC8,0.06495664661566482,0.028192416185874508,0.000001,0.15041,0.43468,2.911322353,-2.0911071942,0.730620005653921
ABCD3,0.08562073765812041,0.5949667199592649,0.000001,0.71463,0.29732,2.497853057,-0.6465439014,0.042218854634268214
ABCG5,0.000001,0.6669021040918303,0.000001,0.10278,0.08667,-0.242970255,1.1610786132,0.6497876916543546
ABCG8,0.000001,0.7963020852790891,0.000001,0.13777,0.33303,-0.776457941,0.7440011035,0.7295165470330472
ACADL,0.012638598520900102,0.15652061552272345,0.000001,0.06718,0.32629,-0.743053285,-0.3581197867,0.07043292635761612
ACADM,0.02553753306871656,0.7941724181627584,0.000001,0.15704,0.72174,0.35641729,-0.2478890237,0.7687690010618768
ACADS,0.07433834689748939,0.7020004955803721,0.000001,0.21732,0.52588,1.571079348,-0.2001574165,0.7840539327234597
ACADVL,0.01900396039627677,0.7974170361029196,0.000001,0.09093,0.28643,0.864823796,0.0257608831,0.759219202203458
ACAT1,0.041840547211385005,0.7376826062979809,0.000001,0.33314,0.47999,0.521074682,-0.5381321944,0.770660604341162
