Gene	GDI_Phred
ABCB7	4.91984
ABCD1	0.77329
BACE2	0.78418
ACE2	1.61216
ACOT9	3.08375
ACRC	2.09833
ACSL4	0.54787
ACTRT1	2.83449
AFF2	1.40875
AGTR2	1.86394
AIFM1	1.10167
AKAP14	0.66429
AKAP17A	3.71045
AKAP4	1.44422
ALAS2	1.03212
ALG13	1.35199
AMELX	2.72000
AMER1	2.02444
AMMECR1	0.55190
AMOT	3.73924
NANOS1	3.16490
AP1S2	0.03993
APEX2	1.39924
APLN	5.92963
PAPLN	14.79749
APOO	2.54975
APOOL	1.06264
SPHAR	0.01446
STAR	1.57977
AP1AR	1.62796
ADAR	1.87521
LYAR	2.26380
CFLAR	2.82895
CCKAR	2.87735
TSPEAR	3.15847
OSCAR	3.79156
FCAR	4.39150
SETMAR	6.28944
ANKAR	6.31979
AR	7.54387
BFAR	8.62057
EDAR	9.57676
ARAF	1.13846
ARHGAP36	0.58176
ARHGAP4	3.88180
ARHGAP6	1.97973
ARHGEF6	2.12469
ARHGEF9	0.42469
ARL13A	3.49118
ARMCX1	0.32137
ARMCX2	0.88210
ARMCX3	0.91432
ARMCX4	7.17757
ARMCX5	0.65189
ARMCX6	4.47407
ARR3	0.92200
ARSD	5.00406
ARSE	1.24628
ARSF	3.21257
ARSH	5.15714
ARX	0.22536
ASB11	2.91021
ASB12	2.25707
ASB9	0.40465
C10orf32-ASMT	0.07368
ASMT	7.84955
ASMTL	9.34725
ATG4A	2.11492
ATP11C	3.67873
ATP1B4	1.51131
ATP2B3	2.22026
ATP6AP1	3.23075
ATP6AP2	0.98980
ATP7A	10.26979
ATRX	2.25148
ATXN3L	2.20216
AVPR2	3.35204
AWAT1	1.99798
AWAT2	0.71714
BCAP31	0.51425
BCOR	2.32443
BCORL1	3.10957
BEND2	2.89504
BEX1	0.19855
BEX2	1.34654
BEX4	0.04666
BEX5	0.05182
BGN	1.69600
BHLHB9	0.83529
BMP15	7.29985
RBMX	0.59829
BMX	1.04679
BRCC3	0.34751
BRS3	0.43253
BRWD3	1.51886
BTK	0.41735
IBTK	7.64339
C1GALT1C1	4.41966
CA5B	1.04029
CACNA1F	8.28029
CAPN6	6.39659
CASK	0.48013
CCDC120	2.02374
CCDC160	0.64287
CCDC22	1.98428
CCNB3	1.72168
CD40LG	1.34110
CD99	2.05855
CD99L2	0.80150
CDK16	4.40678
CDKL5	2.58907
CDR1	1.32058
NPCDR1	19.18412
CDX4	0.40368
CENPI	1.19306
CETN2	0.02003
CFP	1.86633
CHIC1	0.11954
CHM	2.69185
CHRDL1	2.72874
CHST7	0.97782
CITED1	0.33286
CLCN4	0.47295
CLCN5	1.80634
CLDN2	2.94550
CLIC2	0.48858
CMC4	0.47171
CNGA2	7.12113
CNKSR2	2.38054
COL4A5	5.51594
COL4A6	4.02247
COX7B	2.03933
CPXCR1	6.52436
CRLF2	1.93269
CSAG1	5.30676
CSF2RA	5.63621
CSTF2	0.63901
CT45A1	0.00311
CT45A5	0.38132
CT45A6	0.00756
CT47B1	1.56829
CT55	0.08566
CT83	0.02896
CTAG2	2.16581
CTPS2	0.54863
CUL4B	0.33598
CXCR3	0.14426
CXorf21	0.20785
CXorf23	1.63184
CXorf36	10.81006
CXorf38	0.81434
CXorf40A	0.14978
CXorf40B	0.71373
CXorf56	0.10655
CXorf57	3.84182
CXorf58	4.77543
CXorf65	1.24835
CXorf66	0.15322
CXorf67	0.42273
CYBB	1.12290
CYLC1	3.70627
CYSLTR1	0.50900
DACH2	1.38272
DCAF12L1	0.19762
DCAF12L2	0.64905
DCAF8L1	1.11888
DCAF8L2	7.03950
DCX	0.42420
DDX26B	2.48828
DDX3X	0.07955
DDX53	8.38312
DGAT2L6	1.14250
DHRSX	9.62334
DIAPH2	1.15117
DKC1	1.74518
DLG3	0.84957
GSDMD	3.27773
DMD	18.86491
DMRTC1	3.46940
DNASE1L1	1.34745
DOCK11	4.24093
DRP2	4.66808
DUSP21	0.50501
DUSP9	1.27775
DYNLT3	3.54509
EBP	0.55216
EDA	1.81206
EDA2R	1.09938
EFHC2	4.13550
EFNB1	1.49624
EGFL6	5.96983
EIF2S3	4.67785
CELF4	0.80044
ELF4	1.34442
ELK1	4.85348
EMD	0.65783
ENOX2	1.36505
ERAS	0.12091
ERCC6L	2.27878
ESX1	3.33765
HESX1	4.28895
SNF8	0.31754
FGF8	0.37284
TNFSF8	0.48063
TAF8	0.71190
PRPF8	0.76084
RNF8	0.81274
PHF8	0.99147
ZNF8	1.08396
IRF8	1.26169
KLF8	1.41736
DCAF8	1.77147
RASSF8	2.23919
TNFRSF8	2.24589
IGSF8	2.61454
DEF8	3.23402
E2F8	3.46644
CHTF8	3.59714
SCAF8	3.86879
C1QTNF8	3.93972
F8	4.02864
MEGF8	4.61892
SLAMF8	5.06279
ARHGEF9	0.42469
FGF9	0.80364
F9	0.94623
IRF9	1.16103
KLF9	1.18634
TNFRSF9	1.52895
TAF9	1.67407
SRSF9	2.00220
GDF9	2.07499
TNFSF9	2.30853
MEGF9	2.38477
KIF9	2.99611
RASSF9	3.87150
SLAMF9	5.20693
IGSF9	8.07309
C1QTNF9	9.89643
FAAH2	1.70685
FAM104B	0.33742
FAM120C	1.72003
FAM122B	0.56984
FAM122C	1.49812
FAM127B	0.23027
FAM127C	0.01691
FAM133A	2.40481
FAM155B	2.41990
FAM199X	0.11429
FAM3A	0.34294
FAM46D	0.37018
FAM47A	1.74418
FAM47B	2.27091
FAM47C	5.56605
FAM50A	0.15645
FAM58A	0.52626
FAM9A	3.49912
FAM9B	0.50975
FAM9C	0.31659
FANCB	3.58445
FATE1	4.87390
FGD1	2.40983
FGF13	0.02673
FHL1	0.42591
FIGF	2.35335
FLNA	5.61188
FMR1	2.12071
FMR1NB	3.83054
FOXO4	0.52852
FOXP3	1.22709
FOXR2	0.31277
FRMD7	5.54450
FRMPD3	3.11367
FRMPD4	1.65323
FTHL17	6.22380
FTSJ1	1.23122
FUNDC1	0.48336
FUNDC2	0.24552
G6PD	4.61763
GAB3	1.51162
GABRA3	0.29087
GABRE	2.07285
GABRQ	2.87605
GAGE1	2.52545
GAGE10	0.07390
GAGE12J	4.72044
GAGE2B	0.00489
GAGE2D	5.67458
GATA1	0.49878
GDI1	0.16936
GDPD2	1.02902
