Gene	score
ABCB7	0.8617121326
ABCD1	-0.5363109395
ACE2	0.8855767054
BACE2	-0.3581197867
ACOT9	0.439181676
ACRC	-0.3544805185
ACSL4	-0.5601786932
ACTRT1	0.3748601834
AFF2	-1.0838590711
AGTR2	0.3050845594
AIFM1	-0.2699351402
AKAP14	0.0809838472
AKAP17A	-0.632009432
AKAP4	0.6651035161
ALAS2	0.1305330081
ALG13	-0.9993004393
AMELX	0.0589374977
AMER1	-0.3949364374
AMMECR1	-0.0972061904
AMOT	0.2223557252
AP1S2	0.0571185339
APEX2	-0.5583574367
PAPLN	1.2694691919
APOO	0.5255523478
APOOL	-0.0733400307
ADAR	-0.639268965
ANKAR	2.9418844914
AP1AR	0.3271310692
AR	-0.6226769456
BFAR	0.064394823
CCKAR	-0.1340192842
CFLAR	0.1728064496
EDAR	-0.44448505
FCAR	0.3969065885
LYAR	0.3307675085
SETMAR	0.3087212333
SPHAR	0.1012116093
STAR	-0.1156124935
TSPEAR	-1.0766106365
ARAF	-0.492218069
ARHGAP36	-0.7585992616
ARHGAP4	0.159856957
ARHGAP6	-0.5565370434
ARHGEF6	0.6412382599
ARHGEF9	-0.1174323893
ARL13A	0.0589374977
ARMCX1	-0.4058538669
ARMCX2	-0.492218069
ARMCX3	0.1250766517
ARMCX5	-0.2497093186
ARR3	-0.2258429198
ARSD	0.1764442815
ARSE	0.2884940884
ARSF	0.358272123
ARSH	1.4458917525
ASB11	0.15257911
ASB12	0.4850927243
ASB9	-0.1192524841
ASMT	0.134171522
ASMTL	2.1680345624
ATG4A	0.0368911799
ATP11C	-0.3122074973
ATP1B4	0.1728064496
ATP2B3	-1.679229468
ATP6AP1	0.439181676
ATP6AP2	0.1268952597
ATP7A	0.4060063639
ATRX	-0.9258896872
ATXN3L	0.8158006707
AVPR2	1.0876452625
AWAT1	-0.2056170114
AWAT2	0.569646743
BCAP31	-0.0072013718
BCOR	-3.0284892225
BCORL1	-2.1203337935
BEND2	0.6871504764
BEX1	-0.0531135452
BEX2	0.6357889617
BEX4	-0.0310671881
BEX5	0.0791650515
BGN	-0.1597046563
BHLHB9	0.2848563357
BMP15	0.5953267582
BMX	-0.1156124935
RBMX	0.3253135767
BRCC3	0.2132627603
BRS3	-0.3617612788
BRWD3	-0.4885778835
BTK	-0.1174323893
IBTK	-0.6595000464
C1GALT1C1	0.5255523478
CA5B	-0.0733400307
CACNA1F	-0.8304470129
CAPN6	0.1287140423
CASK	-0.7145054274
CCDC120	-0.0256086474
CCDC160	0.014844891
CCDC22	0.7091975091
CCNB3	-0.4408474766
CD40LG	-0.0292476112
CD99	0.8598965742
CD99L2	-0.2717554808
CDK16	0.0828027428
CDKL5	-0.6667705043
CDR1	0.1489415675
CDX4	0.0368911799
CENPI	0.0184834648
CETN2	-0.0531135452
CFP	0.3509954662
CHIC1	0.0571185339
CHM	0.1746252366
CHRDL1	-0.0053819721
CITED1	0.4594113262
CLCN4	-1.0893126276
CLCN5	0.0184834648
CLDN2	0.1471231123
CLIC2	0.1912161639
CMC4	0.1453048567
CMC4	0.2794028648
CNGA2	0.4923704915
CNKSR2	-0.4701716901
COL4A5	-1.1481921527
COL4A6	0.36555769
COX7B	0.2794028648
CPXCR1	0.8819446838
CSAG1	0.9242277363
CSF2RA	1.003094668
CSTF2	0.237127192
CT83	-0.0090208044
CTAG2	0.9058080223
CTPS2	-0.1835708609
CUL4B	-0.3617612788
CXCR3	-0.0953862162
CXorf21	-0.1853912816
CXorf23	-0.0697007245
CXorf36	1.0619621096
CXorf38	0.4373644605
CXorf40A	0.0809838472
CXorf40B	0.7478421433
CXorf56	0.0350720539
CXorf57	-0.4022122566
CXorf58	0.7294267813
CXorf65	0.3694071088
CXorf66	0.7937528714
CYBB	0.3491776316
CYLC1	0.7735215339
CYSLTR1	-0.227663163
DACH2	-0.492218069
DCAF12L1	-0.3378940345
DCAF12L2	-0.2258429198
DCAF8L1	0.3546327142
DCX	-0.0972061904
DDX26B	-0.0678812493
DDX3X	-0.1192524841
DDX53	0.42259095
DGAT2L6	-0.6483651047
DHRSX	0.4648645411
DIAPH2	-0.9993004393
DKC1	0.1048489857
DMD	-0.8421808437
GSDMD	-0.0862886645
DNASE1L1	-0.0274281004
DOCK11	-0.0790129056
DRP2	-0.4647123953
DUSP21	0.2150807215
DYNLT3	-0.0090208044
EBP	-0.141298762
EDA	0.2591737101
EDA2R	0.4832751312
EFHC2	0.5989630423
EFNB1	0.2168989902
EGFL6	1.1096936803
EIF1AX	0.0571185339
EIF2S3	0.1250766517
CELF4	-0.5142644846
ELF4	-0.1137927883
ELK1	0.3271310692
EMD	-0.0512938299
ENOX2	-0.4260790316
ERAS	-0.0751598784
ERCC6L	-0.1762920806
ESX1	0.0405295409
HESX1	0.1930342957
CHTF8	-0.1192524841
DCAF8	-0.6483651047
DEF8	-0.0219698813
E2F8	-0.7733696307
F8	-0.745876353
FGF8	-0.317668748
IGSF8	-1.3741324358
IRF8	-0.178111357
KLF8	0.1709879119
MEGF8	-4.0082161181
PHF8	-0.0256086474
PRPF8	-3.0302729802
RASSF8	-0.3140274219
RNF8	-0.5381321944
SCAF8	-0.9479381645
SLAMF8	-0.0017432382
SNF8	-0.3397150076
TAF8	-0.381986487
TNFRSF8	0.1819030465
TNFSF8	-0.0512938299
ZNF8	-0.5749455673
ARHGEF9	-0.1174323893
C1QTNF9	0.240763792
F9	-0.0274281004
FGF9	0.1691696155
GDF9	-0.0237892438
IGSF9	0.1432715945
IRF9	-0.1597046563
KIF9	0.2039491397
KLF9	0.3473603122
MEGF9	-0.3801660072
RASSF9	0.3766789939
SLAMF9	0.8176166438
SRSF9	-0.0512938299
TAF9	-0.3581197867
TNFRSF9	0.2168989902
TNFSF9	0.8158006707
FAAH2	-0.288341872
FAM104B	0.4135008965
FAM120C	-0.1376585754
FAM122B	0.3473603122
FAM122C	0.3473603122
FAM127A	0.1012116093
FAM127B	0.4796421051
FAM127C	-0.0751598784
FAM133A	0.5457840117
FAM155B	0.4612283722
FAM199X	0.0130256087
FAM3A	-0.4279001894
FAM46D	-0.0274281004
FAM47A	1.2235769336
FAM47B	1.8666864301
FAM47C	1.76190403
FAM50A	-0.0072013718
FAM9A	0.2830380993
FAM9B	0.0368911799
FAM9C	-0.2074375289
FANCB	-0.4003923891
FATE1	-0.1615247089
FGD1	-0.5124440339
FGF13	-0.2074375289
FHL1	-0.0292476112
FIGF	-0.4279001894
FLNA	-3.240384062
FMR1	0.2609916862
FMR1NB	-0.1615247089
FOXO4	-0.2294837713
FOXP3	-0.2497093186
FOXR2	0.1268952597
FRMD7	0.3069026678
FRMPD4	-1.8372199063
FTHL17	1.2365421795
FTSJ1	-0.0053819721
FUNDC1	0.0130256087
FUNDC2	-0.0310671881
G6PD	-0.1358388221
GAB3	-0.0494742139
GABRA3	-0.0512938299
GABRE	1.8207612342
GABRQ	-0.7585992616
GAGE10	0.1912161639
GATA1	-0.6042718101
GDI1	-0.4279001894
GDPD2	0.062575634
GEMIN8	0.1268952597
GJB1	0.2132627603
ADPGK	0.1287140423
AGK	0.3950884616
GK	-0.2735762528
NAGK	-0.492218069
PIGK	-0.315847836
POGK	0.707379532
DAGLA	-0.5731278507
GLA	0.0387103395
GLOD5	0.8360340647
GLRA2	-0.0953862162
GLRA4	1.1740222976
GLUD2	0.1507602306
GNL3L	-0.3122074973
GPC3	-0.4481253452
GPC4	-0.0715203155
