Gene	score
ABCB7	0.41712
ABCD1	0.44245
ACE2	0.90308
BACE2	0.24187
ACOT9	0.14996
ACRC	0.02937
ACSL4	0.91674
ACTRT1	0.05738
AFF2	0.31732
AGTR2	0.64835
AIFM1	0.32532
AKAP14	0.05279
AKAP17A	0.17104
AKAP4	0.11292
ALAS2	0.80443
AMELX	0.14574
AMMECR1	0.89609
AMOT	0.37835
NANOS1	0.20088
AP1S2	0.74914
APEX2	0.07453
APLN	0.01170
PAPLN	0.46142
APOO	0.37074
APOOL	0.12091
ADAR	0.12280
ANKAR	0.24662
AP1AR	0.14777
AR	0.98848
BFAR	0.36833
CCKAR	0.40067
CFLAR	0.11181
EDAR	0.19297
FCAR	0.05137
LYAR	0.70550
OSCAR	0.08634
SETMAR	0.07436
STAR	0.24291
TSPEAR	0.13109
ARAF	0.96395
ARHGAP4	0.12713
ARHGAP6	0.20190
ARHGEF6	0.33163
ARHGEF9	0.24185
ARL13A	0.12879
ARMCX1	0.08741
ARMCX2	0.20334
ARMCX3	0.29245
ARMCX5	0.05846
ARMCX6	0.15275
ARR3	0.66223
ARSD	0.42366
ARSE	0.16729
ARSF	0.12163
ARSH	0.06296
ARX	0.82611
ASB11	0.17322
ASB12	0.18204
ASB9	0.01584
ASMT	0.09450
ASMTL	0.09069
ATG4A	0.23305
ATP11C	0.47993
ATP1B4	0.17751
ATP2B3	0.36639
ATP6AP1	0.07505
ATP6AP2	0.15953
ATP7A	0.21692
ATXN3L	0.20889
AVPR2	0.17911
AWAT1	0.23575
AWAT2	0.03656
BCAP31	0.20772
BCOR	0.36796
BCORL1	0.19294
BEND2	0.04574
BEX1	0.16417
BEX2	0.15554
BEX4	0.28142
BEX5	0.06841
BGN	0.96548
BHLHB9	0.09401
BMP15	0.41269
BMX	0.48018
RBMX	0.26116
BRCC3	0.15581
BRS3	0.36800
BRWD3	0.72124
BTK	0.57908
IBTK	0.36510
C1GALT1C1	0.25938
CA5B	0.08747
CA5BP1	0.03143
CACNA1F	0.25864
CAPN6	0.63626
CASK	0.99640
CCDC120	0.20757
CCDC22	0.09117
CCNB3	0.14946
CD40LG	0.60959
CD99	0.11895
CD99L2	0.07606
CDK16	0.32991
CDKL5	0.49775
CDR1	0.04456
CDX4	0.11991
CENPI	0.05518
CETN2	0.25596
CFP	0.14504
CHIC1	0.37183
CHM	0.13327
CHRDL1	0.40707
CHST7	0.53214
CITED1	0.39454
CLCN4	0.31959
CLCN5	0.51707
CLDN2	0.31239
CLIC2	0.22626
CMC4	0.21172
CMC4	0.21172
CNGA2	0.29013
CNKSR2	0.74699
COL4A5	0.87803
COL4A6	0.14684
COX7B	0.06926
CPXCR1	0.02192
CSAG1	0.01704
CSAG3	0.06746
CSAG4	0.06926
CSF2RA	0.23740
CSTF2	0.27399
CT55	0.03848
CT83	0.05657
CTAG1A	0.33776
CTAG1B	0.36952
CTAG2	0.13765
CTPS2	0.48895
CUL4B	0.87445
CXCR3	0.07304
CXorf21	0.19647
CXorf23	0.21460
CXorf36	0.13579
CXorf38	0.13698
CXorf56	0.15463
CXorf57	0.56981
CXorf58	0.11845
CYBB	0.16497
CYSLTR1	0.15646
DACH2	0.22813
DCAF12L1	0.16688
DCAF12L2	0.53699
DCAF8L1	0.03137
DCAF8L2	0.03137
DCX	0.89424
DDX26B	0.47840
DDX3X	0.75981
DDX53	0.01993
DGAT2L6	0.20527
DGKK	0.24434
DHRSX	0.18443
DIAPH2	0.56881
DKC1	0.96016
DMD	0.34010
GSDMD	0.06547
DMRTC1	0.04427
DMRTC1B	0.04684
DNASE1L1	0.19047
DOCK11	0.40264
DRP2	0.57194
DUSP21	0.04568
DUSP9	0.58545
DYNLT3	0.07994
EBP	0.25395
EDA	0.37117
EDA2R	0.01967
EFHC2	0.10684
EFNB1	0.26774
EGFL6	0.10208
EIF2S3	0.86209
CELF4	0.51622
ELF4	0.49512
ELK1	0.99996
EMD	0.06261
ENOX2	0.12779
ERAS	0.30096
ERCC6L	0.33669
ESX1	0.14806
HESX1	0.59812
C1QTNF8	0.16306
CYP4F8	0.35416
DCAF8	0.26586
DEF8	0.16968
E2F8	0.39192
F8	0.09749
FGF8	0.53552
IGSF8	0.20547
IRF8	0.11050
KLF8	0.12318
MEGF8	0.72681
PHF8	0.48090
PRPF8	0.82448
RASSF8	0.29739
RNF8	0.10535
SCAF8	0.19849
SLAMF8	0.14799
SNF8	0.22987
TAF8	0.31114
TNFRSF8	0.33528
TNFSF8	0.13650
ZNF8	0.18845
F8A1	0.19472
F8A2	0.22240
F8A3	0.18659
ARHGEF9	0.24185
C1QTNF9	0.04496
F9	0.34741
FGF9	0.90259
GDF9	0.12610
IGSF9	0.25590
IRF9	0.48473
KIF9	0.17471
KLF9	0.99417
MEGF9	0.08401
RASSF9	0.22794
SLAMF9	0.02391
SRSF9	0.62966
TAF9	0.95557
TNFRSF9	0.04543
TNFSF9	0.10940
FAAH2	0.17056
FAM104B	0.12752
FAM120C	0.53229
FAM122B	0.24481
FAM122C	0.06219
FAM127A	0.04079
FAM127B	0.16386
FAM127C	0.10735
FAM133A	0.29797
FAM155B	0.25498
FAM199X	0.26839
