Gene	score
ABCB7	0.51712
ABCD1	0.76942
ACE2	0.28373
BACE2	0.35536
ACOT9	0.09121
ACRC	0.06040
ACSL4	0.30801
AFF2	0.27963
AGTR2	0.42494
AIFM1	0.37971
AKAP14	0.08574
AKAP17A	0.12783
AKAP4	0.12717
ALAS2	0.45327
AMELX	0.24801
AMER1	0.08523
AMMECR1	0.33817
AMOT	0.09490
AP1S2	0.05068
APEX2	0.13544
APLN	0.02875
PAPLN	0.11057
APOO	0.11532
ADAR	0.23648
ANKAR	0.09697
AP1AR	0.14109
AR	0.97465
BFAR	0.10433
CCKAR	0.10427
CFLAR	0.48654
EDAR	0.44715
FCAR	0.10575
LYAR	0.11261
SETMAR	0.09300
STAR	0.43038
TSPEAR	0.12772
ARAF	0.35300
SARAF	0.12343
ARHGAP4	0.23338
ARHGAP6	0.13979
ARHGEF6	0.26601
ARHGEF9	0.11483
ARMCX1	0.10417
ARMCX2	0.09825
ARMCX3	0.10687
ARR3	0.19245
ARSD	0.14372
ARSE	0.09780
ARSF	0.12262
ARX	0.14662
ASB11	0.10311
ASB12	0.10591
ASB9	0.07827
ATG4A	0.09809
ATP11C	0.10205
ATP1B4	0.10044
ATP2B3	0.14753
ATP6AP1	0.08671
ATP6AP2	0.19966
ATRX	0.56316
ATXN3L	0.10379
AVPR2	0.58893
AWAT1	0.09482
AWAT2	0.07074
BCAP31	0.16918
BCOR	0.12570
BCORL1	0.10464
BEND2	0.05824
BEX1	0.43058
BEX2	0.09529
BEX5	0.06745
BGN	0.11669
BHLHB9	0.10311
BMP15	0.19135
BMX	0.16263
BRCC3	0.19351
BRS3	0.08777
BRWD3	0.09906
BTK	0.55976
IBTK	0.08876
C1GALT1C1	0.14512
SPACA5B	0.10325
CACNA1F	0.19789
CAPN6	0.14666
CASK	0.27748
CCDC120	0.10346
CCDC22	0.15035
CD40LG	0.76078
CD99	0.28667
CD99L2	0.09120
CDK16	0.14960
CDX4	0.12890
CENPI	0.13124
CETN2	0.16700
CFP	0.26817
CHIC1	0.10564
CHM	0.24490
CHRDL1	0.37988
CHST7	0.14237
CITED1	0.14988
CLCN4	0.18328
CLCN5	0.45685
CLDN2	0.10659
CLIC2	0.13985
CNGA2	0.11368
CNKSR2	0.12286
COL4A6	0.07461
COX7B	0.08399
CPXCR1	0.03628
CSTF2	0.11566
CT83	0.05394
CTAG1A	0.07440
CTAG1B	0.06406
CTPS2	0.16131
CUL4B	0.12121
CXCR3	0.38391
CXorf21	0.10424
CXorf40A	0.07313
CXorf56	0.11262
CYBB	0.74918
CYLC1	0.06258
CYSLTR1	0.15770
DACH2	0.13144
DCX	0.79984
DDX26B	0.09573
DDX3X	0.33817
DDX53	0.10291
DGAT2L6	0.10053
DGKK	0.09038
DIAPH2	0.27299
DKC1	0.24988
DLG3	0.34195
DMD	0.76370
GSDMD	0.09123
DMRTC1	0.05294
DMRTC1B	0.05294
DNASE1L1	0.28561
DRP2	0.11419
DUSP21	0.08746
DUSP9	0.14414
DYNLT3	0.11010
EBP	0.09869
EDA	0.09946
EDA2R	0.09742
EFHC2	0.09536
EFNB1	0.37081
EGFL6	0.09271
EIF1AX	0.13638
EIF2S3	0.21829
CELF4	0.11809
ELF4	0.08696
ELK1	0.15613
EMD	0.53733
ENOX2	0.10711
ERAS	0.17203
ERCC6L	0.09735
ESX1	0.09574
HESX1	0.19387
C1QTNF8	0.11777
CYP4F8	0.13946
DCAF8	0.10825
DEF8	0.10329
E2F8	0.09135
F8	0.82924
FGF8	0.58572
IGSF8	0.12178
IRF8	0.44945
KLF8	0.06771
MEGF8	0.12244
PHF8	0.10114
PRPF8	0.21033
RASSF8	0.12378
RNF8	0.10940
SLAMF8	0.10599
SNF8	0.11233
TAF8	0.25991
TNFRSF8	0.29463
TNFSF8	0.15628
ZNF8	0.09595
F8A1	0.10599
F8A2	0.10599
F8A3	0.10599
ARHGEF9	0.11483
C1QTNF9	0.08803
F9	0.57236
FGF9	0.31502
IGSF9	0.10848
KLF9	0.17365
MEGF9	0.07492
RASSF9	0.10688
SLAMF9	0.06354
SRSF9	0.14896
TAF9	0.38833
TNFRSF9	0.28103
TNFSF9	0.16909
FAAH2	0.11018
FAM120C	0.10318
FAM122B	0.08164
FAM127A	0.08874
FAM133A	0.09259
FAM155B	0.14169
FAM156A	0.09673
FAM156B	0.09673
FAM3A	0.10878
FAM45B	0.06956
FAM46D	0.07473
FAM50A	0.14095
FAM58A	0.09700
FANCB	0.31695
FATE1	0.10370
FGD1	0.28713
FGF13	0.10286
FGF16	0.13588
FHL1	0.13588
FIGF	0.18163
FLNA	0.64395
FMR1	0.51740
FOXO4	0.23122
FOXP3	0.53010
FOXR2	0.09268
FRMD7	0.12382
FRMPD4	0.09751
FTHL17	0.10585
FTSJ1	0.17687
FUNDC1	0.09080
FUNDC2	0.06604
G6PD	0.98951
GAB3	0.10150
GABRA3	0.21583
GABRE	0.13483
GABRQ	0.23004
GATA1	0.70879
GDI1	0.18356
