Gene	score
ABCB7	2.570685287
ABCD1	2.461045645
BACE2	2.309549076
ACE2	1.194178261
ACOT9	0.797061131
ACRC	0.954357317
ACSL4	1.5664951
ACTRT1	-1.472245977
AFF2	1.253617933
AGTR2	0.286018148
AIFM1	0.846353376
AKAP17A	-0.960059455
AKAP4	0.590707755
ALAS2	0.582525519
ALG13	1.372347258
AMER1	0.374990235
AMOT	-0.102940459
NANOS1	1.499859313
APEX2	1.216792547
PAPLN	0.349049517
ADAR	3.162998324
AR	2.0231079
EDAR	1.302834823
STAR	1.297181078
ANKAR	1.243799582
BFAR	0.803227156
OSCAR	0.662013239
CFLAR	0.573217166
AP1AR	0.56425849
CCKAR	0.373465355
SETMAR	-0.018576415
LYAR	-0.108590954
FCAR	-0.628603121
TSPEAR	-0.681131993
ARAF	2.340148983
SARAF	0.382564303
ARHGAP36	0.969014328
ARHGAP4	1.444757773
ARHGAP6	2.170188216
ARHGEF6	1.753632106
ARHGEF9	2.414966729
ARMCX1	1.619021414
ARMCX2	1.789761316
ARMCX3	1.639696504
ARMCX5	0.600321402
ARMCX5-GPRASP2	1.266603986
ARMCX6	0.370868145
ARR3	-1.1031079
ARSD	1.333991946
ARSE	1.277348036
ARSF	0.068951513
ARSH	0.740091602
ARX	2.236680205
ASB11	-1.069647937
ASB12	-1.198656043
ASB9	1.345301509
ASMT	-1.687014293
ASMTL	-1.324853869
ATG4A	0.880961648
ATP11C	2.000437616
ATP1B4	0.085886725
ATP2B3	3.013716103
ATP6AP1	1.38777096
ATP6AP2	0.967200263
ATP7A	1.095933908
ATRX	3.80199243
ATXN3L	0.344202077
AVPR2	0.895550217
AWAT1	0.611212983
AWAT2	1.682068477
BCAP31	1.138119912
BCOR	1.106517569
BCORL1	1.955779395
BEND2	1.665533798
BGN	1.342649545
BHLHB9	-0.378129522
BMP15	-0.500799392
RBMX	2.369623395
BMX	1.531297119
BRCC3	2.021853126
BRS3	0.581559515
BRWD3	4.682947856
BTK	2.793889974
IBTK	0.808820063
CA5B	1.142175288
CACNA1F	1.587076859
CAPN6	2.145618832
CASK	3.307089303
CCDC120	-0.249118512
CCDC22	0.682593892
CCNB3	1.527877772
CD40LG	0.309785375
CD99	0.632741527
CD99L2	-0.384589571
CDK16	2.677736566
CDKL5	2.896715118
CDR1	-0.223483987
CDX4	1.186167753
CENPI	1.592507302
CFP	0.89676282
CHM	0.481439638
CHRDL1	1.58317012
CHST7	2.417417515
CLCN4	3.82255414
CLCN5	2.007850118
CNGA2	-1.44577058
CNKSR2	2.963397224
COL4A5	1.485805838
COL4A6	1.668228625
CSF2RA	-0.893630377
CSTF2	2.903347102
CT47A6	3.388956601
CT47A7	3.389004995
CTAG2	0.368605818
CTPS2	2.049626851
CUL4B	3.047865328
CXCR3	2.171945592
CXorf23	0.415263935
CXorf36	0.833199329
CXorf38	1.413374583
CXorf57	1.943307696
CXorf58	0.446611936
CXorf66	-0.074130351
CYBB	2.287595707
CYLC1	0.434160217
DACH2	0.486221953
DCAF12L1	2.457364973
DCAF12L2	2.389614062
DCAF8L1	0.480649648
DCX	2.554154064
DDX26B	1.162001417
DDX3X	4.402607027
DDX53	-0.708094506
DGAT2L6	-1.278983736
DHRSX	0.117723569
DIAPH2	1.256101903
DKC1	2.620791234
DLG3	2.988699424
GSDMD	0.534759052
DMD	-0.232364472
DNASE1L1	1.028669697
DOCK11	2.122155585
DRP2	1.801047374
DUSP21	1.087145647
DUSP9	0.665877945
EDA	2.138237439
EDA2R	0.1081261
EFHC2	-0.532121883
EFNB1	0.343472856
EGFL6	0.806558703
EIF2S3	3.279624605
CELF4	3.085951019
ELF4	1.075922501
ELK1	1.683765706
EMD	1.03165212
ENOX2	1.380074319
ERAS	1.746332982
ERCC6L	1.576412313
ESX1	0.355366114
PRPF8	8.302348813
PHF8	4.198016557
MEGF8	3.278118875
DCAF8	2.903062963
F8	2.297077378
IRF8	2.26211929
DEF8	2.012294025
RNF8	2.003147652
SCAF8	1.86221262
C1QTNF8	1.666722204
FGF8	1.35519729
TNFRSF8	1.12966764
SNF8	1.078765966
TAF8	0.957968855
KLF8	0.844540002
E2F8	0.468762474
TNFSF8	0.413296877
CYP4F8	0.289312916
IGSF8	0.285577283
ZNF8	-0.029760072
RASSF8	-0.097855891
SLAMF8	-1.312267409
F8A1	2.218064605
F8A2	2.218064605
F8A3	2.218064605
PRAMEF9	3.847415268
KLF9	2.589216544
SRSF9	2.479807117
ARHGEF9	2.414966729
IGSF9	2.141779844
TNFSF9	2.029082425
FGF9	1.680788814
TAF9	1.288149467
MEGF9	0.92557908
IRF9	0.835272646
F9	0.67525391
C1QTNF9	0.594521855
SLAMF9	0.396213277
TNFRSF9	0.224811836
KIF9	0.203859728
GDF9	-0.307442714
RASSF9	-1.497889697
FAAH2	-2.383143158
FAM120C	3.908172627
FAM127A	2.231461311
FAM127B	1.406337476
FAM155B	1.383597366
FAM199X	2.693046199
FAM3A	0.35567528
FAM46D	0.010560224
FAM47A	1.303763287
FAM47B	1.783217823
FAM47C	1.332871982
FAM50A	1.627442576
FAM9A	0.331426468
FANCB	-0.947068563
FGD1	2.972895487
FGF13	1.78417394
FHL1	1.519542336
FIGF	0.540807964
FLNA	5.541180456
FMR1	2.954178952
FMR1NB	-0.180611901
FOXO4	2.412057588
FOXP3	0.26609938
FRMD7	1.600509515
FRMPD4	1.814502152
FTHL17	1.478474222
FTSJ1	1.184666863
G6PD	1.756517741
GAB3	1.428561849
GABRA3	2.598539207
GABRE	-0.165333449
GABRQ	1.127836983
GATA1	1.065784061
GDI1	2.894437166
GDPD2	1.467587065
GEMIN8	0.989661764
GJB1	2.231090064
POGK	3.872093883
GK	2.596584801
PIGK	1.040109922
ADPGK	0.803684129
AGK	0.48114264
NAGK	0.334004321
DAGLA	4.665223388
GLA	0.327410498
GLRA2	1.913299573
GLRA4	-0.151810367
GLUD2	1.671311291
GNL3L	0.650324202
GPC3	0.5771817
GPC4	1.345246202
GPKOW	1.202810971
GPM6B	1.808892653
GPR101	1.453196218
GPR119	0.72215282
GPR143	-1.567823848
GPR173	1.4284381
GPR174	0.800257177
GPR34	1.809534904
GPR50	-0.211499404
GPRASP1	0.942332221
GPRASP2	1.266879137
ARMCX5-GPRASP2	1.266603986
GRIA3	3.272010923
GRIPAP1	2.482159733
GRPR	0.346040409
GSPT2	2.622287285
GUCY2F	0.326210615
GYG2	0.585260098
HAUS7	1.051744413
HCCS	1.27702933
HCFC1	5.450005012
HDAC6	2.665566982
HDAC8	1.03639261
HDHD1	-0.146338582
HDX	1.099560656
HEPH	0.940090911
HNRNPH2	2.895533625
HS6ST2	2.475722014
HSD17B10	2.019956792
HTATSF1	2.257584818
HTR2C	1.441277589
HUWE1	7.973459617
IDH3G	2.747593287
IDS	0.332400698
IGBP1	0.555982993
IGSF1	1.354940113
IKBKG	2.943258611
IL13RA1	-0.597575001
IL13RA2	0.500753487
IL1RAPL1	2.589232444
IL1RAPL2	1.592182374
IL2RG	1.392635199
IL3RA	-1.263624328
IL9R	-1.614282998
SERPINE1	-0.071287509
SERPINE2	0.924393439
IQSEC2	4.264943397
IRAK1	2.090726767
IRS4	3.628481654
ITGB1BP2	0.701665774
ITIH6	-0.37005942
JADE3	1.910676645
KCND1	1.445140082
KDM5C	4.538966107
KDM6A	2.985748803
KIAA1210	0.116035466
KIAA2022	1.781087126
KIF4A	2.63307005
KLF8	0.844540002
KLHL13	2.58504848
KLHL15	3.464736687
KLHL4	2.401072262
L1CAM	2.794471387
LAMP2	0.200172834
LANCL3	1.900135156
LAS1L	2.498836827
LDOC1	2.285653053
LONRF3	1.565144921
LPAR4	1.216649441
LRCH2	1.331329612
LUZP4	-0.56443485
MAGEA1	0.634972537
MAGEA10	0.178552204
MAGEA11	0.917362554
MAGEA12	0.057401656
MAGEA2	2.827353394
MAGEA2B	2.827363072
MAGEA3	-1.6408538
MAGEA4	-0.884882214
MAGEA6	-1.441031473
MAGEA8	-0.289046613
MAGEA9	2.859963014
MAGEA9B	2.859963014
MAGEB1	0.514952281
MAGEB10	2.113676351
MAGEB16	0.550518053
MAGEB18	-0.868460914
MAGEB2	-1.207182288
MAGEB3	0.250806409
MAGEB4	-0.467883441
MAGEB6	-0.46800242
MAGEC1	-2.851310946
MAGEC2	-0.719397846
MAGEC3	-0.82736169
MAGED1	2.196679514
MAGED2	1.82041169
MAGEE1	2.770228314
MAGEE2	-1.198165886
MAGEH1	2.139478387
MAGIX	0.975391901
MAGT1	0.936884495
MAMLD1	0.77226568
MAOA	2.029257332
MAOB	1.193484851
MAP3K15	-1.693958762
MAP7D2	0.422937762
MAP7D3	0.495815068
MBNL3	0.322982838
MBTPS2	0.489970169
MCF2	1.839977186
MECP2	0.087268359
MED12	6.38784839
MED14	3.854338997
MID1	2.073291968
EMID1	0.605930694
MID1IP1	2.005306003
MID2	1.13583643
MORC4	1.479201507
MOSPD2	1.016594134
MPP1	0.874082165
MSL3	1.235849911
MSN	2.810210339
MTM1	2.02125996
CMTM1	0.5639673
CKLF-CMTM1	0.392327555
MTMR1	2.005932353
MTMR8	-2.616277502
MUM1L1	0.631521319
MXRA5	0.500294302
NAA10	2.181450077
NAP1L2	0.980856911
NAP1L3	1.032255656
NHS	1.344599112
NHSL2	-1.500032147
NKAP	2.069535249
NKRF	2.01413367
NLGN3	3.688450198
NLGN4X	3.508693202
NONO	2.716368413
ENOX1	1.568201317
PKNOX1	1.11459168
NOX1	-0.235707219
NR0B1	2.423591144
SNRK	3.130280855
NRK	0.445335177
NSDHL	-1.480398901
NUDT10	1.469340293
NUDT11	2.248836655
NXF2	4.048301561
NXF2B	4.048301561
NXF3	0.851240429
NXF5	-0.126234397
NYX	1.595387407
OCRL	2.333772101
OFD1	0.685041152
OGT	4.752633817
EOGT	0.780675089
OPHN1	1.496226343
OPN1LW	1.344887399
OPN1MW	2.630702916
OPN1MW2	2.630702916
OTC	0.367642787
OTUD5	2.9144624
OTUD6A	1.755957068
P2RY10	1.641361932
P2RY4	1.079720009
P2RY8	2.269083116
PABPC1L2A	2.759977877
PABPC1L2B	2.760026271
PABPC5	1.535187266
PAK3	1.805750531
PASD1	-1.105342298
PCDH11X	2.950055825
PCDH19	4.097288927
PCYT1B	2.518596588
PDHA1	1.940435196
PDK3	2.163836914
PDZD4	3.811479632
PFKFB1	0.108267962
PGAM4	0.117659413
PGK1	-0.567837121
PGRMC1	1.508558392
PHEX	1.0503092
PHF6	1.741002783
PHF8	4.198016557
PHKA1	1.838279265
PHKA2	1.282425206
PIGA	1.868738139
PIM2	2.263786792
SPIN4	2.258561676
PIR	0.009209686
PJA1	1.33425258
PLCXD1	-2.54537963
PLP1	2.103479148
APLP1	0.370025752
APLP2	0.916020671
PLS3	2.113177898
PLXNA3	0.360133843
PLXNB3	0.162859711
PNCK	1.458200107
PNMA3	0.851601998
PNMA5	0.480312968
PNPLA4	-0.595972761
POF1B	0.199872379
POLA1	2.948843222
PORCN	1.69997684
POU3F4	2.893929034
PPEF1	1.346204393
PPP1R3F	1.680033875
PPP2R3B	-1.06418431
PQBP1	2.736252614
PRDX4	1.802990027
PRICKLE3	1.943745312
PRKX	1.070599907
PRPS1	2.892058971
PRPS2	2.457417515
PRRG3	-0.979977532
PTCHD1	2.16380373
RAB33A	1.74659569
RAB40A	1.133384953
RAB40AL	-0.524485802
RAB41	-0.012653769
ORAI2	1.722398244
RAI2	0.671460758
RBBP7	2.541102335
RBM10	4.146505125
RBM41	0.377872621
RBMX	2.369623395
RBMX2	1.017291692
RENBP	1.409613025
REPS2	1.203319795
RGAG1	0.745161859
RGAG4	2.633865086
RGN	-0.852354171
RHOXF1	0.924779205
RHOXF2	2.79599924
RHOXF2B	2.79599924
RLIM	3.064878411
RNF113A	2.501514371
RNF128	1.119778081
SFRP2	2.446495791
NRP2	1.868520368
DRP2	1.801047374
PGLYRP2	1.774037574
LRP2	1.64854975
RASGRP2	1.580391642
ESRP2	1.452567103
CSRP2	0.920309027
RP2	0.150987608
HDGFRP2	-0.211599233
NLRP2	-0.233747766
PARP2	-0.26114181
PNLIPRP2	-0.529334486
XIRP2	-1.096553345
FARP2	-1.38610968
RPA4	0.554402876
RPGR	0.858614217
MRPL10	0.184637481
MRPL39	-1.457876562
RPS6KA3	3.314773501
RPS6KA6	2.319733144
RRAGB	2.002882179
IRS1	2.533514924
RRS1	2.342606682
MCRS1	2.043588033
RS1	1.075041048
DHRS1	-0.022558427
CERS1	-0.313474965
FRRS1	-0.579226879
SAGE1	-1.182630879
SASH3	0.943781261
PSAT1	-0.637408804
SATL1	-0.394760297
SCML1	2.192611694
SCML2	1.875027221
SEPT6	2.170085898
SERPINA7	-0.402525312
SH3KBP1	1.633935602
SHOX	1.533389792
SHROOM2	0.823065729
SHROOM4	0.433548454
SLC10A3	1.52194611
SLC16A2	2.152733369
SLC25A14	2.104352305
SLC25A5	2.614514596
SLC25A53	-0.154988368
SLC25A6	0.485130472
SLC35A2	1.646481965
SLC38A5	2.03840578
SLC6A14	2.229564977
SLC6A8	2.595315508
SLC7A3	0.937397466
SLC9A6	3.355697126
SLC9A7	2.060620474
SLITRK2	1.780955772
SLITRK4	1.472879241
SMARCA1	3.128369312
SMC1A	5.359867264
SMS	2.028705646
SOWAHD	1.786160839
SOX3	2.914718886
SPIN3	0.213661557
SPIN4	2.258561676
SRPK3	0.423410221
SRPX	-1.05627128
SRPX2	0.553502895
SSR4	1.545028431
STAG2	3.913352115
STARD8	0.222440346
STS	0.292749408
SUPT20HL1	2.260442801
SUV39H1	2.810219326
SYAP1	1.187369294
SYN1	2.460791234
NADSYN1	-0.560330044
SYP	1.740410308
SYTL4	1.219665048
SYTL5	-0.751058954
TAB3	1.473789039
TAF1	5.177902833
BTAF1	3.259384365
TAF7L	0.520966418
TAZ	2.134312726
TBC1D25	3.008018804
TBC1D8B	-1.932392195
TBL1X	1.490229696
TBX22	1.384369588
TCEAL3	1.092399108
TENM3,TENM1	3.466747783
TENM1	2.271204134
TEX11	0.695881367
TEX13A	-0.803165627
TEX13B	0.718217045
TEX28	3.399950224
TFDP3	0.128211065
TFE3	2.256563715
TGIF2LX	1.363030816
THOC2	4.791241466
TKTL1	0.259401718
TLR7	2.30245044
TLR8	2.879530583
TMEM164	1.780236783
TMEM185A	2.035023765
TMEM187	-0.03977748
TMEM255A	0.074819198
TMLHE	0.789400439
TNMD	0.45491405
TREX2	-1.115489034
TRMT2B	1.657536425
TRO	1.496573394
TRPC5	3.100135847
TSC22D3	1.281711056
TSPAN7	0.900446257
TSPYL2	0.673638604
NTSR2	0.000467619
TXLNG	0.784319812
UBA1	3.777857896
UBQLN2	1.729321281
UPF3B	1.153446828
UPRT	2.394192088
USP11	3.334253962
DUSP11	1.904052265
USP26	1.289669023
DUSP26	0.363057571
USP51	2.162087834
USP9X	5.353017508
UTP14A	1.270101454
VCX	-0.443228469
VCX2	-0.58324278
VCX3A	1.051725747
VCX3B	1.616630775
VGLL1	0.412513524
VSIG1	-0.55629126
VSIG4	-1.583085777
WAS	1.576011338
WDR13	2.487590176
WDR44	3.174190359
WDR45	1.594273665
WNK3	2.159513991
WWC3	1.850857429
XIAP	0.703343646
XK	2.216569937
PDXK	0.57685698
TXK	0.504458701
PXK	-0.23984203
XKRX	1.12342626
XPNPEP2	0.066652683
YY2	0.001502057
ZBED1	0.383416374
ZBTB33	1.699002057
ZC3H12B	2.863615341
ZCCHC12	0.94170034
ZCCHC16	-1.748751966
ZCCHC5	-1.509383156
ZDHHC15	0.754474844
ZDHHC9	2.907960386
ZFX	2.552553622
ZIC3	3.001731105
ZMAT1	0.679204687
ZMYM3	3.994718194
ZNF157	0.331299746
ZNF182	1.196734821
ZNF185	0.505300334
ZNF275	0.467884409
ZNF280C	2.439887312
ZNF41	0.003555527
ZNF449	0.780894934
ZNF630	-0.219528578
ZNF645	0.432208645
ZNF674	0.633135865
ZNF711	2.551271194
ZNF75D	0.512925076
ZNF81	1.745119688
ZRSR2	2.406845607
ZXDA	1.882569004
