gene,Length,Nonsyn_v,Syn_v,Tissuespe,Expr,Reptime,HIc,GC,ALL_tr_length,CO_tr_length,ALL_tr_count,CO_tr_count,NC_tr_count,NC_mut_rate,HI,REC,CONS,RVIS,GDI,NET
GDA,1.495,19,7,0,2.85414,207,11,40.49,72680.66667,84030.85714,10,7,3,0.000002538,0.44628,0.28214,-0.018829264,0.018483465,2.18156,0.98614034
SCN3A,6.23,40,43,0,1.03604,683,-8,35.07,54302,80008,9,6,3,0.000002882,0.58721,0.10604,4.362162498,-2.475079584,4.78678,0.880774016
SCN3B,0.673,8,6,0,6.81725,451,6,45.94,18557,19880.8,6,5,1,0.000004058,0.14484,0.14928,0.985625054,-0.273576253,0.45171,0.51172285
GFER,0.633,12,3,0,17.47301,183,46,60.99,1977.4,1900,5,4,1,0.00000204,0.072,0.3038,0.000001,0.000001,2.66593,0.897434256
RPLP2,0.368,8,1,0,17.99017,232,51,57.05,2277,2907.666667,8,3,5,0.000002708,0.81054,0.28104,0.000001,-0.185391282,1.37083,0.92467354
ZSCAN9,1.358,23,7,0,2.37664,486,34,43.42,5642.125,5642.125,8,8,0,0.000001,0.000001,0.000001,0.000001,0.040529541,3.33813,0.000001
PIP5KL1,1.235,18,7,0,12.78941,201,51,57.03,3965.166667,7941,12,2,10,0.000001996,0.000001,0.000001,0.405026495,0.194852702,1.15755,0.820042706
BTBD1,1.489,10,3,0,3.84974,679,27,39.53,32032.8,50062,5,2,3,0.000003091,0.22175,0.11147,1.73947493,-0.161524709,2.15486,0.994906523
BTBD2,1.623,19,25,0,18.99295,239,37,55.3,19614,20245,10,2,8,0.000002494,0.16014,0.11161,2.11773311,-0.622676946,12.02834,0.730528257
RPLP0,0.989,4,7,0,16.08347,225,59,48.92,2997.666667,3407.666667,27,12,15,0.000002551,0.99689,0.28104,2.130406678,-0.029247611,0.91158,0.932925004
BTBD3,1.781,14,12,0,0.59672,322,-61,38.63,17378.07692,22674,13,8,5,0.000004938,0.24723,0.11646,2.018266475,-0.025608647,1.84386,0.052389509
RPLP1,0.365,2,3,0,3.07077,298,19,47.38,2757.2,2843.333333,5,3,2,0.000002329,0.31003,0.21177,0.000001,-0.053113545,0.25752,0.907752078
TMEFF2,1.175,11,3,1,0.6932,677,0,36,128972.75,169783,4,3,1,0.000003851,0.36998,0.26214,1.253046199,-0.139478553,2.34915,0.307483655
ACAA2,1.244,21,9,0,2.90591,530,35,39.54,21011.85714,23994.66667,7,6,1,0.000002534,0.17491,0.36635,-1.154498349,-0.578583623,4.18062,0.01349089
TMEFF1,1.193,1,1,0,2.38688,591,-11,39.38,119939.5,119939.5,2,2,0,0.000003335,0.000001,0.000001,-0.256191085,-0.449946534,0.62642,0.241420998
SCN2B,0.668,15,7,1,7.07709,293,56,53.51,14723,14723,1,1,0,0.000002147,0.21416,0.13285,0.191008002,-0.449946534,0.40612,0.248328995
TFPT,0.792,13,4,0,7.35613,439,-53,54.83,8349.75,8394.7,4,3,1,0.000005651,0.17443,0.27129,-0.020941357,-0.137658575,2.19185,0.991088671
BARHL1,0.999,7,5,0,15.2297,581,37,58.85,7553.5,7553.5,2,2,0,0.000002649,0.80566,0.16046,2.670775506,-0.361761279,0.45664,0.946187186
UGCG,1.23,11,6,0,5.98588,172,14,40.22,24034.6,38604,5,1,4,0.000001927,0.18485,0.40044,1.490825628,-0.05129383,0.4923,0.976486604
BARHL2,1.179,11,11,0,0.82474,897,-4,50.2,5699,5699,1,1,0,0.000003286,0.70792,0.10225,2.142586633,-0.560178693,1.2611,0.375633921
SCN2A,6.245,29,46,0,1.19701,879,-9,35.59,85070.66667,114858.2,7,5,2,0.000002864,0.6458,0.34375,5.325529995,-1.98979551,5.25209,0.710428385
BTBD7,3.639,41,25,0,3.21756,407,31,40.08,53190.5,54592.71429,9,7,2,0.000002689,0.000001,0.000001,1.025050554,-0.947938165,4.4332,0.097851373
BTBD6,1.478,17,22,0,9.27925,289,40,64.36,2149.833333,2358,6,5,1,0.000008382,0.15911,0.11022,1.466382067,-0.88906181,1.41029,0.086630588
GEM,0.911,13,4,0,5.18471,543,24,44.2,6316.2,8911.333333,5,3,2,0.000002989,0.4172,0.11643,0.829842894,-0.005381972,2.53818,0.750160041
BTBD9,1.989,21,10,0,2.95241,821,32,40.63,322053.2857,322053.2857,8,7,1,0.000002584,0.31062,0.1222,1.265274547,-0.957024976,0.64776,0.800905187
OR1S2,0.983,17,9,0,6.37499,828,-25,45.1,980,980,1,1,0,0.000003998,0.13512,0.08176,-1.291813547,0.108486928,6.24806,0.059210289
BTBD8,1.182,17,4,0,2.20071,406,-6,39.23,64786.33333,64786.33333,3,3,0,0.000002358,4.70E-04,0.01177,0.772902401,0.639420866,2.60158,0.462168413
OR1S1,0.983,30,14,0,6.37499,828,-25,44.02,979,979,1,1,0,0.000003998,0.000001,0.000001,-2.569245234,1.377921151,11.06633,0.005975875
TAGLN,0.626,13,14,0,4.26428,228,46,57.93,3715.375,3732.571429,8,7,1,0.000002118,0.62397,0.35787,0.132060354,-0.0274281,2.08539,0.94001362
HSD11B1,0.909,8,8,1,2.1954,222,15,40.88,42517,42517,3,3,0,0.000003324,0.38141,0.63224,0.466032942,-0.427900189,0.1622,0.970893342
TFPI,1.083,9,6,1,0.5068,404,-4,36.6,60730.76923,65781.27273,13,11,2,0.000004185,0.30818,0.32077,1.235105342,0.327131069,1.17294,0.929963066
HSD11B2,1.243,12,13,1,11.15833,153,42,59.84,4719.75,6437,4,1,3,0.000001568,0.7257,0.64394,1.770112169,-0.47017169,0.91706,0.993288412
ACAA1,1.335,23,14,0,3.02137,411,32,51.46,9769.789474,12193,20,7,13,0.000001946,0.07126,0.6954,0.017806855,0.064394823,6.87964,0.667476775
NCR3LG1,1.39,0,0,0,0.000001,0.000001,0.000001,44.5,23686,25616,2,1,1,0.000001,0.000001,0.000001,0.000001,0.000001,4.23739,0.000001
RALGPS2,1.847,8,10,0,3.64466,434,-2,36.82,85984,114378.6,9,5,4,0.000003075,0.1422,0.09694,2.244907102,-0.26993514,1.86189,0.661577463
SCN1A,6.16,55,35,0,0.98532,550,-11,34.85,57042.85714,83948.25,7,4,3,0.000003623,0.25753,0.21408,3.799122695,-1.429430352,2.65241,0.726517364
SCN1B,1.041,18,4,0,7.3857,419,-34,55.68,6718.8,7518.666667,5,3,2,0.000002446,0.17394,0.15823,1.303738399,0.617373774,6.46197,0.682955848
RALGPS1,1.967,9,9,0,4.19512,353,41,46.49,142805.5,205268.375,14,8,6,0.000002287,0.76983,0.12378,2.541497779,-0.293801652,3.6627,0.945149855
T,1.348,22,13,1,1.41864,323,-23,51.51,8884.5,8884.5,4,4,0,0.000004189,0.29523,0.27623,1.00031594,0.687150476,9.90729,0.031711514
ATN1,3.618,47,27,0,27.0495,211,47,55.53,9007.25,15905,4,2,2,0.000002887,0.48946,0.52345,1.849329577,-0.947938165,5.42284,0.453149014
GFY,1.572,0,0,0,0.000001,0.000001,0.000001,0.000001,5070,5070,1,1,0,0.000001,0.000001,0.000001,0.000001,0.000001,8.92864,0.000001
FAIM,0.716,10,4,0,1.98181,515,26,40.46,18005.55556,19681.66667,9,6,3,0.000003073,0.1045,0.11959,0.460442731,0.170987912,12.69722,0.254417832
ACACA,7.49,35,39,0,5.26151,346,13,41.27,86624.79167,127400.2857,26,14,12,0.000002579,0.46791,0.7316,6.377741751,-1.613071123,2.69102,0.982900637
PPAPDC1B,0.92,8,2,0,7.63369,277,42,45.35,3222.0625,4743.714286,16,7,9,0.000002304,0.10046,0.10138,0.912720925,0.215080722,1.62183,0.11437136
GGH,1.002,16,4,0,1.37738,789,-12,38.86,10984.125,24087,8,1,7,0.000005394,0.22475,0.23669,0.226673396,0.305084559,9.73679,0.927826072
OR1Q1,0.95,19,7,0,4.07749,646,9,49.21,1079,1079,1,1,0,0.000002874,0.20608,0.09577,0.187628269,0.92967242,6.88397,0.026836203
PPAPDC1A,0.851,11,11,0,2.61792,849,5,42.31,97630,123607.5,7,6,1,0.000003083,0.18611,0.10773,1.289915139,-0.249709319,0.82856,0.251338043
ACACB,7.637,142,79,1,5.28828,519,29,46.78,28532.53333,78224.16667,16,6,10,0.000002184,0.16354,0.41174,1.198585527,-1.974635129,12.47962,0.421754893
SULT6B1,0.833,23,6,0,5.45763,253,35,41.42,14564.16667,15458,7,7,0,0.000002132,0.08766,0.08838,-0.235472372,2.017427259,10.33166,0.018250126
ZSCAN4,1.317,18,9,0,5.32349,849,-37,41.56,10218,10218,1,1,0,0.00000317,0.05195,0.07156,-0.133044263,-0.314027422,1.78786,0.000168788
ZSCAN1,1.247,28,11,0,11.87584,694,-42,55.61,9772,9772,3,3,0,0.000003047,0.000001,0.000001,0.278501115,0.022122107,0.78604,0.412964069
ZSCAN2,1.947,43,26,0,3.4152,263,32,48.03,14449.42857,15186.38462,15,13,2,0.00000327,0.69585,0.10033,-1.534934237,-1.192291254,1.14597,0.242494793
GGN,1.969,32,6,1,14.67279,253,0,64.93,2668.4,1996,5,3,2,0.000002406,0.05529,0.11413,2.350785876,0.000001,9.26586,0.020800019
GH2,1.015,20,7,1,14.46139,380,27,56.6,1661,1652,4,4,0,0.000002197,0.000001,0.000001,-0.164842324,0.707379532,1.41951,0.20004748
