Gene	GDI_Phred
DEFB104B	0.00000
SPRR2A	0.00022
MAGEA9B	0.00044
SMIM13	0.00067
AL162431.1	0.00089
RIMBP3C	0.00111
FAM27A	0.00133
DEFB106B	0.00155
RP11-826N14.2	0.00178
AC002553.1	0.00200
C17orf112	0.00222
SPANXN5	0.00244
AC090186.1	0.00267
AC013468.1	0.00289
CT45A1	0.00311
EIF4E	0.00333
AP001885.1	0.00355
PRAMEF5	0.00378
KRTAP20-4	0.00400
TRPV1	0.00422
FAM27E1	0.00444
CTD-2561J22.3	0.00467
GAGE2B	0.00489
CCL3L1	0.00511
AC226150.4	0.00533
CXorf31	0.00555
RP11-219B4.6	0.00578
AC005493.1	0.00600
PRR23D1	0.00622
RP11-404L6.2	0.00644
AC111200.1	0.00667
SUMO1	0.00689
RP11-116D17.1	0.00711
RGPD6	0.00733
CT45A6	0.00756
SULT1A3	0.00778
TMSB15A	0.00800
RP11-505K9.4	0.00822
RP11-67H2.1	0.00845
AC011475.1	0.00867
AC011366.3	0.00889
SNURF	0.00911
DLEU2L	0.00934
PKIA	0.00956
DNAJC25-GNG10	0.00978
IFI6	0.01000
IQCJ	0.01023
FAM72A	0.01045
SPIN2B	0.01067
MTRNR2L9	0.01089
RP11-552I14.1	0.01112
SLN	0.01134
NBL1	0.01156
RABGEF1	0.01178
AL591025.1	0.01201
NUDT4	0.01223
AC120194.1	0.01245
LINC00998	0.01268
GTF2A1L	0.01290
MAPRE3	0.01312
C1QL3	0.01334
PEA15	0.01357
CTAGE5	0.01379
KM-PA-2	0.01401
AC011484.1	0.01423
SPHAR	0.01446
TBC1D3	0.01468
SHFM1	0.01490
DEFB104A	0.01535
DEFB123	0.01513
WDR83OS	0.01557
SCML1	0.01579
SSU72	0.01602
GNB1	0.01624
SRY	0.01646
MED21	0.01669
FAM127C	0.01691
LMO3	0.01713
RAPGEF6	0.01735
GOLGA8N	0.01758
ZFAND5	0.01780
TSPAN7	0.01802
AC140481.2	0.01825
NGFRAP1	0.01847
FGF7	0.01869
RPS28	0.01892
RAB14	0.01914
RPS23	0.01936
RPL22	0.01958
RP11-458D21.5	0.01981
CETN2	0.02003
SLX1B	0.02025
HIST1H2AE	0.02048
AC006486.9	0.02070
AC003043.1	0.02383
AC012485.1	0.02360
AC026407.1	0.02338
AC092384.1	0.02316
AL049747.1	0.02293
AL441883.1	0.02271
AP000304.1	0.02249
BX649567.1	0.02226
CATX-2	0.02204
CTC-429P9.4	0.02182
LRLE1	0.02159
RP11-20I23.1	0.02137
RP11-318A15.7	0.02115
RP11-343C2.12	0.02092
SERF1B	0.02405
PSMC3	0.02427
YAF2	0.02449
TRAPPC1	0.02472
SEC11A	0.02494
SPATA31A5	0.02516
DEFB106A	0.02539
ANKRD20A3	0.02561
CTC-326K19.6	0.02584
KRTAP20-3	0.02606
CD59	0.02628
CCNC	0.02651
FGF13	0.02673
RPS15	0.02695
YWHAZ	0.02718
SPRYD7	0.02740
RAB8A	0.02762
RP11-9B6.1	0.02785
NUDT11	0.02807
AL121963.1	0.02829
SCHIP1	0.02874
TEX261	0.02852
CT83	0.02896
RAB9A	0.02919
DPY30	0.02986
RBM4	0.02963
UBE2QL1	0.02941
PRAMEF3	0.03008
MINOS1	0.03030
ZNF706	0.03053
ASF1A	0.03075
NNAT	0.03098
RP11-347C12.3	0.03120
HMGN2	0.03142
AP3S2	0.03165
KLRC4	0.03187
AP2S1	0.03254
GNG3	0.03232
TUBA1B	0.03209
WFDC11	0.03277
MAP1LC3A	0.03321
SF3B5	0.03299
PAGE4	0.03344
RPL19	0.03411
SMIM4	0.03388
SNX12	0.03366
RPS13	0.03433
MPV17L	0.03456
SMN1	0.03478
INIP	0.03523
RAP2C	0.03500
BANF1	0.03635
DCAF7	0.03612
FAM219A	0.03590
RPS18	0.03567
UBL5	0.03545
CDC42SE1	0.03836
CKS2	0.03814
EIF1B	0.03791
HSPE1	0.03769
NEDD8-MDP1	0.03747
NFIX	0.03724
RP11-155D18.14	0.03702
RPS8	0.03679
TUSC2	0.03657
AP1S2	0.03993
ARF1	0.03971
ATP6V0E1	0.03948
HSPE1-MOB4	0.03926
NUTF2	0.03903
RPL21	0.03881
RPS11	0.03859
CTB-60B18.6	0.04150
CTC-479C5.12	0.04128
GRB2	0.04105
H3F3A	0.04083
KLRC4-KLRK1	0.04060
PTTG1	0.04038
RP11-87C12.2	0.04015
SNRPD1	0.04172
RPS27	0.04217
UBE2D2	0.04195
PITPNB	0.04329
RBM17	0.04307
RPS19	0.04285
RPS26	0.04262
UBE2V2	0.04240
NCBP2	0.04352
LAMTOR3	0.04397
WDR82	0.04374
YEATS4	0.04419
PLA2G10	0.04442
RPA3	0.04464
ENY2	0.04509
RAP1B	0.04486
RPS15A	0.04554
UBE2Z	0.04531
AC009802.1	0.04643
AC010760.1	0.04621
RAB10	0.04599
UBE2N	0.04576
BEX4	0.04666
SH2D1A	0.04688
H2AFV	0.04733
UBE2E2	0.04711
TCEB3CL	0.04756
RNF11	0.04778
WI2-3308P17.2	0.04801
YPEL2	0.04823
RP11-1021N1.1	0.04846
RP11-599B13.6	0.04868
GABARAPL1	0.04890
C21orf90	0.04913
ARL4C	0.04935
LINC01119	0.04958
RAB11A	0.04980
RP11-62N21.1	0.05003
DEFB105A	0.05025
H2AFY	0.05048
UBE2B	0.05070
NXT2	0.05093
RGCC	0.05115
RPRD1A	0.05138
ETF1	0.05160
BEX5	0.05182
C7orf69	0.05205
STMN2	0.05227
AC003005.4	0.05250
FXYD6	0.05272
C18orf32	0.05295
RP11-447L10.1	0.05317
KB-1980E6.3	0.05340
TCEB3C	0.05362
RP11-347C12.1	0.05385
NABP2	0.05407
HIST2H2AC	0.05430
RP11-770J1.5	0.05452
MTRNR2L11	0.05475
C9orf53	0.05497
PSMA6	0.05520
RPS29	0.05542
PTMS	0.05565
PAGE2	0.05587
APOA2	0.05610
NPIPB3	0.05632
ISY1	0.05655
POLR2D	0.05677
AC132216.1	0.05700
C1orf137	0.05722
IL18	0.05745
CAMK2A	0.05790
CDC42SE2	0.05767
AC016586.1	0.05812
DEFB107A	0.05835
ENHO	0.05857
SERP1	0.05880
MTRNR2L8	0.05902
CBX5	0.05925
CHP1	0.05947
RHOXF2B	0.05970
AC006126.3	0.06308
AC008372.1	0.06285
AC008964.1	0.06262
AC073342.1	0.06240
AC110792.1	0.06217
AL121895.1	0.06195
AL132989.1	0.06172
AL161645.2	0.06150
AP001094.1	0.06127
FKSG62	0.06105
L47234.1	0.06082
LINC00908	0.06060
MTRNR2L13	0.06037
SMIM1	0.06015
ZFY	0.05992
ACTB	0.06330
ATXN7L3B	0.06353
FAM106A	0.06375
PGA4	0.06398
RIT1	0.06420
SMIM10	0.06443
PLEKHF2	0.06465
S100A8	0.06488
ARGLU1	0.06510
YPEL5	0.06533
PPBP	0.06555
AL353354.1	0.06578
HIGD2A	0.06601
NHLH2	0.06623
WFDC13	0.06646
U2AF2	0.06668
NDUFA5	0.06691
TRAPPC2	0.06713
CORT	0.06758
UBE2G2	0.06736
AL158147.2	0.06781
RPL36AL	0.06803
RP11-272B17.2	0.06826
AC013269.5	0.06849
PURA	0.06871
EEF1A2	0.06894
CFL2	0.06916
H2AFX	0.06939
DEFB4A	0.06961
TUBB4B	0.06984
CREBL2	0.07007
EDF1	0.07029
FAM153C	0.07052
FAM49A	0.07074
GADD45A	0.07097
CCL18	0.07119
SPCS3	0.07142
AF196779.12	0.07165
MMP23B	0.07187
RP11-944C7.1	0.07210
PPP4C	0.07232
SPANXN1	0.07255
IFNG	0.07277
AL627171.1	0.07300
SMIM12	0.07323
RPL10	0.07345
C10orf32-ASMT	0.07368
GAGE10	0.07390
ACTR2	0.07413
BTLA	0.07436
RP11-738G5.2	0.07458
UXT	0.07481
SMIM19	0.07503
PLN	0.07526
RP5-1052I5.2	0.07548
FAM27E3	0.07571
AC007557.1	0.07594
POLR2M	0.07616
FAM150B	0.07639
RP11-701P16.2	0.07661
RPRM	0.07684
IL31	0.07707
CNIH2	0.07752
KCTD6	0.07729
SMARCB1	0.07774
COX14	0.07797
RAP2A	0.07820
TARDBP	0.07842
RP11-404P21.8	0.07865
SPIN4	0.07888
YWHAH	0.07910
PPP1R14B	0.07933
DDX3X	0.07955
RP11-386G21.1	0.07978
PTP4A2	0.08001
TMEM35	0.08023
METTL9	0.08046
BLCAP	0.08068
WFDC2	0.08091
RAB15	0.08114
C2orf27B	0.08136
ARL8A	0.08272
BLOC1S1	0.08249
INMT-FAM188B	0.08227
RAP1A	0.08204
SF3B4	0.08182
TMA7	0.08159
SPINK13	0.08295
PCSK1N	0.08317
UBE2R2	0.08340
GABARAPL2	0.08498
NUDCD2	0.08476
PSMA2	0.08453
RBM8A	0.08431
SS18L2	0.08408
TUBB2A	0.08385
ZNF705D	0.08363
SPDYE2	0.08521
RPL10A	0.08544
CT55	0.08566
ACTC1	0.08589
GCHFR	0.08612
GNG4	0.08680
SNRPB2	0.08657
TMEM258	0.08634
RETN	0.08702
PSME3	0.08725
RPL34	0.08770
RPS25	0.08748
AC010547.9	0.08906
CTD-2369P2.10	0.08884
HIST2H2AB	0.08861
RP1-27O5.3	0.08838
RP11-133K1.2	0.08816
RPL23	0.08793
CGB8	0.08929
DLX1	0.08952
XAGE3	0.08974
IL21	0.08997
COPS2	0.09020
HNRNPD	0.09065
UBE2K	0.09042
PTPLB	0.09088
NCS1	0.09110
PTH	0.09133
BTF3L4	0.09156
CXCL13	0.09178
LDOC1	0.09201
