GENE_NAME	PREDICTED_INDISPENSABILITY_SCORE
ABCB7	0.168890809081556
ABCD1	0.783215763281755
ACE2	0.0433210518562664
BACE2	0.637207472456955
ACOT9	0.777385199570498
ACRC	0.104955886685162
ACSL4	0.872137290111398
ACTRT1	0.123181773059263
AFF2	0.0786359126249453
AGTR2	0.658665932820499
AIFM1	0.77303998878898
AKAP14	0.713905693171111
AKAP17A	0.114371359811310
AKAP4	0.443758469626116
ALAS2	0.665809905472598
ALG13	0.133203915395712
AMELX	0.114371359811310
AMMECR1	0.114371359811310
AMOT	0.963828029743326
NANOS1	0.76627318718066
AP1S2	0.845825321587824
APEX2	0.205725245404755
APLN	0.00260706787338169
PAPLN	0.183038875641738
APOO	0.37764196854614
APOOL	0.0250004819042608
ADAR	0.989358422315157
ANKAR	0.401608814181803
AP1AR	0.114371359811310
AR	0.999998327902998
BFAR	0.82514685882515
CCKAR	0.612720346182062
CFLAR	0.279939377861532
EDAR	0.88368152651723
FCAR	0.391639015912062
LYAR	0.393146820405036
NCRUPAR	0.230912229909725
OSCAR	0.119055192654541
SETMAR	0.97392287556774
SPHAR	0.114371359811310
STAR	0.866721365504855
TSPEAR	0.114371359811310
VIPAR	0.781199836008485
ARAF	0.985480366372331
ARHGAP36	0.114371359811310
ARHGAP4	0.507941756390889
ARHGAP6	0.122787751025139
ARHGEF6	0.49717481127148
ARHGEF9	0.538166916936412
ARL13A	0.256993123141197
ARMCX1	0.114371359811310
ARMCX2	0.503398716758833
ARMCX3	0.53917561279198
ARMCX4	0.114371359811310
ARMCX5	0.114371359811310
ARMCX6	0.0104623205116589
ARR3	0.712278038683265
ARSD	0.114371359811310
ARSE	0.974268827502363
ARSF	0.000364799446023166
ARSH	0.0926436420320509
ARX	0.282681495523763
ASB11	0.307483654878265
ASB12	0.520494663267474
ASB9	0.59263882055826
ASMT	0.724396369993169
ASMTL	0.735593276164615
ATG4A	0.00970374103650644
ATP11C	0.110357056773108
ATP1B4	0.158767124262670
ATP2B3	0.800905186959344
ATP6AP1	0.841047768806223
ATP6AP2	0.53917561279198
ATP7A	0.490618581915669
ATRX	0.978254632715545
ATXN3L	0.0859578283295183
AVPR2	0.731196952393116
AWAT1	0.166861565880689
AWAT2	0.114371359811310
BCAP31	0.53917561279198
BCOR	0.956480317028714
BCORL1	0.669773020785802
